rep,run,shelf,plate,line,trt,type,end,status,viable,number,notes
3,5,1,2,106-1,15,,522,0,0,2,
3,5,1,3,182-1,0,,522,0,0,4,
3,5,1,6,185-2,15,,522,0,0,1,
3,5,1,7,142-2,20,,522,0,0,7,
3,5,1,12,134-2,0,,522,0,0,2,
3,5,1,14,137-1,0,,522,0,0,2,
3,5,1,16,Johnny's,10,,522,0,0,2,
3,5,1,17,177-1,0,,522,0,0,6,
3,5,1,18,204-2,15,,522,0,0,1,
3,5,1,19,156-2,0,,522,0,0,1,
3,5,1,20,173-2,0,,522,0,0,5,
3,5,1,22,174-2,20,,522,0,0,3,
3,5,1,23,164-2,20,,522,0,0,10,
3,5,1,25,125-1,0,,522,0,0,2,
3,5,1,26,213-2,20,,522,0,0,1,
3,5,1,29,174-1,10,,522,0,0,3,
3,5,1,33,135-2,10,,522,0,0,7,
3,5,1,35,164-1,10,,522,0,0,4,
3,5,1,36,91-1,0,,522,0,0,3,
3,5,2,42,139-2,15,,522,0,0,4,
3,5,2,44,130-2,0,,522,0,0,7,
3,5,2,45,133-1,10,,522,0,0,6,
3,5,2,48,107-1,20,,522,0,0,4,
3,5,2,49,76-1,0,,522,0,0,3,
3,5,2,53,134-2,15,,522,0,0,2,
3,5,2,54,139-2,10,,522,0,0,3,
3,5,2,56,151-2,15,,522,0,0,7,
3,5,2,58,148-2,15,,522,0,0,4,
3,5,2,59,149-2,10,,522,0,0,6,
3,5,2,65,151-2,20,,522,0,0,9,
3,5,2,68,126-2,15,,522,0,0,1,
3,5,2,70,191-2,0,,522,0,0,4,
3,5,2,71,208-2,15,,522,0,0,1,
3,5,2,72,148-1,10,,522,0,0,7,
3,5,3,74,Johnny's,15,,522,0,0,3,
3,5,3,76,75-1,20,,522,0,0,2,
3,5,3,80,77-2,0,,522,0,0,1,
3,5,3,81,177-2,10,,522,0,0,3,
3,5,3,83,100-1,20,,522,0,0,3,
3,5,3,88,148-1,0,,522,0,0,9,
3,5,3,89,167-1,10,,522,0,0,7,
3,5,3,94,137-1,15,,522,0,0,5,
3,5,3,96,Johnny's,10,,522,0,0,4,
3,5,3,99,168-2,20,,522,0,0,2,
3,5,3,106,100-1,20,,522,0,0,4,
3,5,3,107,Johnny's,10,,522,0,0,7,
3,5,3,108,106-1,20,,522,0,0,8,
3,5,4,113,156-2,15,,522,0,0,1,
3,5,4,117,125-2,10,,522,0,0,1,
3,5,4,120,135-2,20,,522,0,0,7,
3,5,4,121,183-1,15,,522,0,0,3,
3,5,4,123,142-2,15,,522,0,0,4,
3,5,4,126,150-1,0,,522,0,0,5,
3,5,4,127,135-1,10,,522,0,0,2,
3,5,4,128,88-1,20,,522,0,0,2,
3,5,4,129,191-2,10,,522,0,0,4,
3,5,4,131,125-2,0,,522,0,0,4,
3,5,4,132,169-2,0,,522,0,0,4,
3,5,4,133,164-2,10,,522,0,0,10,
3,5,4,134,139-2,20,,522,0,0,3,
3,5,4,135,173-1,15,,522,0,0,8,
3,5,4,137,149-2,20,,522,0,0,1,
3,5,4,138,Johnny's,20,,522,0,0,2,
3,5,4,139,135-2,0,,522,0,0,7,
