rep,run,shelf,plate,line,trt,type,end,status,germinated,notes
2,3,1,3,Johnny's,10,C1,Inf,0,1,
2,4,1,5,147-2,10,E3,Inf,0,1,
2,3,1,10,140-1,15,E3,Inf,0,1,
2,4,1,14,100-1,0,C2,Inf,0,1,
2,3,1,15,187-2,10,E3,Inf,0,1,
2,4,1,18,190-1,20,E3,Inf,0,1,
2,4,1,19,128-2,0,E3,Inf,0,1,
2,3,1,20,169-2,20,E3,Inf,0,1,
2,4,1,29,156-1,0,E3,Inf,0,1,
2,3,1,32,133-1,20,E3,Inf,0,1,
2,4,1,35,88-1,10,E3,Inf,0,1,
2,3,2,41,120-1,0,E3,Inf,0,1,
2,3,2,42,Johnny's,10,C1,Inf,0,1,
2,4,2,43,146-1,20,E3,Inf,0,1,
2,3,2,48,140-1,0,E3,Inf,0,1,
2,4,2,49,109-1,0,E3,Inf,0,1,
2,3,2,50,140-2,15,E3,Inf,0,1,
2,3,2,57,100-1,15,C2,Inf,0,1,
2,4,2,58,102-1,15,E3,Inf,0,1,
2,3,2,60,164-2,10,E3,Inf,0,1,
2,3,2,63,130-2,0,E3,Inf,0,1,
2,3,2,64,219-1,10,E3,Inf,0,1,
2,4,3,75,100-1,10,C2,Inf,0,1,
2,3,3,78,215-1,20,E3,Inf,0,1,
2,3,3,79,139-1,20,E3,Inf,0,1,
2,3,3,85,122-1,15,E3,Inf,0,1,
2,3,3,87,219-2,10,E3,Inf,0,1,
2,4,3,99,Johnny's,10,C1,Inf,0,1,
2,3,3,104,136-2,15,E3,Inf,0,1,
2,3,3,105,140-1,10,E3,Inf,0,1,
2,4,3,106,135-1,20,E3,Inf,0,1,
2,4,3,108,146-1,0,E3,Inf,0,1,
2,3,4,109,189-1,10,E3,Inf,0,1,
2,4,4,111,100-2,0,E3,Inf,0,1,
2,3,4,119,188-2,20,E3,Inf,0,1,
2,4,4,121,128-2,20,E3,Inf,0,1,
2,3,4,121,215-2,15,E3,Inf,0,1,
2,4,4,122,122-2,0,E3,Inf,0,1,
2,3,4,127,131-2,15,E3,Inf,0,1,
2,3,4,129,168-1,20,E3,Inf,0,1,
2,4,4,135,204-1,10,E3,Inf,0,1,
2,4,4,136,149-2,20,E3,Inf,0,1,
2,3,4,138,191-2,0,E3,Inf,0,1,
2,4,4,139,142-2,0,E3,Inf,0,1,
2,3,4,144,126-2,10,E3,Inf,0,1,
2,4,5,146,93-1,15,E3,Inf,0,1,
2,3,5,154,125-2,0,E3,Inf,0,1,
2,4,5,155,102-1,10,E3,Inf,0,1,
2,3,5,156,144-1,20,E3,Inf,0,1,
2,4,5,159,91-1,10,E3,Inf,0,1,
2,4,5,167,182-1,20,E3,Inf,0,1,
2,3,5,167,130-2,15,E3,Inf,0,1,
2,3,5,173,140-2,20,E3,Inf,0,1,
2,3,5,174,184-1,0,E3,Inf,0,1,
2,4,6,183,122-2,15,E3,Inf,0,1,
2,4,6,192,Johnny's,15,C1,Inf,0,1,
2,3,6,194,156-2,0,E3,Inf,0,1,
2,4,6,197,208-2,0,E3,Inf,0,1,
2,3,6,202,136-1,20,E3,Inf,0,1,
2,3,6,207,135-2,10,E3,Inf,0,1,
2,4,6,209,125-1,0,E3,Inf,0,1,
2,3,7,218,131-1,0,E3,Inf,0,1,
2,4,7,221,100-1,0,C2,Inf,0,1,
2,3,7,221,219-1,15,E3,Inf,0,1,
2,3,7,225,169-1,20,E3,Inf,0,1,
2,3,7,229,104-2,0,E3,Inf,0,1,
2,4,7,239,130-1,20,E3,Inf,0,1,
2,3,7,239,120-1,10,E3,Inf,0,1,
2,3,7,240,187-1,15,E3,Inf,0,1,
2,4,7,241,107-2,15,E3,Inf,0,1,
2,4,7,243,91-1,15,E3,Inf,0,1,
2,3,8,254,153-1,10,E3,Inf,0,1,
2,4,8,262,Johnny's,10,C1,Inf,0,1,
2,3,8,268,76-1,10,E3,Inf,0,1,
2,4,8,271,202-1,0,E3,Inf,0,1,
2,3,8,273,131-2,10,E3,Inf,0,1,
2,4,8,275,137-2,0,E3,Inf,0,1,
2,4,8,280,100-1,15,C2,Inf,0,1,
2,4,8,283,188-1,15,E3,Inf,0,1,
2,4,8,286,91-1,0,E3,Inf,0,1,
2,4,9,289,88-1,0,E3,Inf,0,1,
2,4,9,290,134-1,15,E3,Inf,0,1,
2,4,9,291,163-2,0,E3,Inf,0,1,
2,4,9,295,102-1,0,E3,Inf,0,1,
2,4,9,298,132-1,20,E3,Inf,0,1,
2,4,9,301,Johnny's,15,C1,Inf,0,1,
2,3,9,301,156-2,10,E3,Inf,0,1,
2,3,9,303,135-2,0,E3,Inf,0,1,
2,3,9,305,218-1,15,E3,Inf,0,1,
2,4,9,306,132-2,20,E3,Inf,0,1,
2,3,9,307,100-1,0,C2,Inf,0,1,
2,4,9,308,104-1,15,E3,Inf,0,1,
2,3,9,309,139-1,0,E3,Inf,0,1,
2,3,9,317,179-2,10,E3,Inf,0,1,
2,3,9,321,150-1,15,E3,Inf,0,1,
2,4,1,1,134-2,20,E3,Inf,0,2,
2,3,1,9,Johnny's,15,C1,Inf,0,2,
2,4,1,22,91-1,20,E3,Inf,0,2,
2,4,1,23,Johnny's,0,C1,Inf,0,2,
2,3,1,31,75-1,20,E3,Inf,0,2,
2,3,1,36,208-1,15,E3,Inf,0,2,
2,3,2,46,119-2,15,E3,Inf,0,2,
2,4,2,63,88-1,15,E3,Inf,0,2,
2,3,2,70,185-2,20,E3,Inf,0,2,
2,3,2,71,147-1,0,E3,Inf,0,2,
2,3,3,81,109-2,15,E3,Inf,0,2,
2,3,3,82,Johnny's,15,C1,Inf,0,2,
2,4,3,88,Johnny's,0,C1,Inf,0,2,
2,4,3,89,100-1,10,C2,Inf,0,2,
2,4,3,103,204-1,0,E3,Inf,0,2,
2,4,4,113,179-1,20,E3,Inf,0,2,
2,3,4,116,189-1,15,E3,Inf,0,2,
2,4,4,119,181-1,20,E3,Inf,0,2,
2,4,4,125,217-2,20,E3,Inf,0,2,
2,3,4,128,139-2,0,E3,Inf,0,2,
2,4,4,132,92-1,20,E3,Inf,0,2,
2,4,4,137,Johnny's,10,C1,Inf,0,2,
2,4,4,140,146-1,15,E3,Inf,0,2,
2,4,5,145,104-1,0,E3,Inf,0,2,
2,3,5,149,144-2,20,E3,Inf,0,2,
2,3,5,164,145-1,20,E3,Inf,0,2,
2,3,5,165,204-2,15,E3,Inf,0,2,
2,4,5,173,126-1,15,E3,Inf,0,2,
2,3,5,178,138-1,15,E3,Inf,0,2,
2,3,6,190,131-2,20,E3,Inf,0,2,
2,4,6,215,149-1,20,E3,Inf,0,2,
2,4,7,223,156-1,10,E3,Inf,0,2,
2,3,7,230,100-1,20,C2,Inf,0,2,
2,4,7,240,118-2,20,E3,Inf,0,2,
2,3,7,241,216-1,20,E3,Inf,0,2,
2,3,7,247,153-1,20,E3,Inf,0,2,
2,4,7,250,92-1,15,E3,Inf,0,2,
2,3,8,274,139-1,15,E3,Inf,0,2,
2,4,8,277,156-1,15,E3,Inf,0,2,
2,3,8,280,147-1,10,E3,Inf,0,2,
2,4,2,62,Johnny's,10,C1,Inf,0,3,
2,3,2,69,Johnny's,20,C1,Inf,0,3,
2,3,3,80,Johnny's,20,C1,Inf,0,3,
2,4,3,83,147-2,15,E3,Inf,0,3,
2,4,3,86,100-1,15,C2,Inf,0,3,
2,3,3,100,140-1,20,E3,Inf,0,3,
2,3,4,110,187-1,20,E3,Inf,0,3,
2,4,4,131,179-1,15,E3,Inf,0,3,
2,4,4,142,124-1,15,E3,Inf,0,3,
2,4,5,151,190-1,0,E3,Inf,0,3,
2,4,5,152,93-1,0,E3,Inf,0,3,
2,3,5,160,100-1,20,C2,Inf,0,3,
2,3,5,169,Johnny's,10,C1,Inf,0,3,
2,3,5,171,Johnny's,20,C1,Inf,0,3,
2,4,5,175,147-2,20,E3,Inf,0,3,
2,3,5,176,145-1,15,E3,Inf,0,3,
2,4,6,184,100-2,15,E3,Inf,0,3,
2,4,6,185,Johnny's,20,C1,Inf,0,3,
2,3,6,199,Johnny's,0,C1,Inf,0,3,
2,4,6,207,Johnny's,20,C1,Inf,0,3,
2,4,7,227,Johnny's,15,C1,Inf,0,3,
2,3,7,233,81-2,20,E3,Inf,0,3,
2,3,9,290,Johnny's,20,C1,Inf,0,3,
2,3,9,313,126-2,15,E3,Inf,0,3,
2,3,1,4,219-2,15,E3,Inf,0,4,
2,4,1,11,208-2,15,E3,Inf,0,4,
2,4,3,78,126-1,0,E3,Inf,0,4,
2,4,4,116,106-1,10,E3,Inf,0,4,
2,4,4,138,118-2,15,E3,Inf,0,4,
2,4,4,143,Johnny's,20,C1,Inf,0,4,
2,4,6,199,107-2,20,E3,Inf,0,4,
2,4,6,206,Johnny's,20,C1,Inf,0,4,
2,3,7,217,81-2,10,E3,Inf,0,4,
2,3,7,219,156-2,20,E3,Inf,0,4,
2,3,7,250,163-1,0,E3,Inf,0,4,
2,3,8,257,136-2,0,E3,Inf,0,4,
2,3,1,7,104-2,20,E3,Inf,0,5,
2,3,1,25,107-1,20,E3,Inf,0,5,
2,4,2,65,Johnny's,0,C1,Inf,0,5,
2,3,3,99,118-1,20,E3,Inf,0,5,
2,4,3,102,125-1,15,E3,Inf,0,5,
2,4,8,265,109-1,20,E3,Inf,0,5,
2,4,9,314,204-1,20,E3,Inf,0,5,
2,4,1,8,100-1,20,C2,Inf,0,6,
2,4,1,30,100-1,20,C2,Inf,0,6,
2,3,3,74,100-1,20,C2,Inf,0,6,
2,4,3,85,104-1,20,E3,Inf,0,6,
2,4,3,90,109-1,15,E3,Inf,0,6,
2,4,3,95,Johnny's,0,C1,Inf,0,6,
2,3,6,212,109-2,20,E3,Inf,0,6,
2,4,7,219,126-1,20,E3,Inf,0,6,
2,4,7,247,109-1,10,E3,Inf,0,6,
2,3,8,266,139-1,10,E3,Inf,0,6,
2,4,9,296,100-2,20,E3,Inf,0,6,
2,4,1,13,88-1,20,E3,Inf,0,7,
2,3,1,30,204-2,20,E3,Inf,0,7,
2,4,3,100,100-1,20,C2,Inf,0,7,
2,4,5,180,102-1,20,E3,Inf,0,7,
2,3,6,203,219-2,20,E3,Inf,0,7,
2,4,8,287,93-1,20,E3,Inf,0,7,
2,4,9,305,122-2,20,E3,Inf,0,7,
2,3,9,308,208-1,20,E3,Inf,0,7,
2,4,4,126,156-1,20,E3,Inf,0,8,
2,3,6,181,122-1,20,E3,Inf,0,8,
2,4,6,201,100-1,20,C2,Inf,0,8,
2,4,7,231,202-1,20,E3,Inf,0,8,
2,3,9,316,100-1,20,C2,Inf,0,8,
2,4,6,208,208-2,20,E3,Inf,0,9,
2,3,7,228,204-2,0,E3,Inf,0,9,
2,4,8,256,125-1,20,E3,Inf,0,9,
2,4,8,278,124-1,20,E3,Inf,0,9,
2,3,2,39,119-2,20,E3,Inf,0,10,
2,3,3,84,125-2,20,E3,Inf,0,10,
2,3,8,255,173-2,20,E3,Inf,0,10,
2,4,7,217,100-1,0,C2,497.48,1,1,
2,4,7,247,109-1,10,E3,497.48,1,1,
2,4,3,90,109-1,15,E3,497.15,1,1,
2,4,3,99,Johnny's,10,C1,497.15,1,1,
