Rep,Run,Shelf,Plate,Line,Trt,start date,start time,end date,end time,start,end,end germ,end disease,germ,disease,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,11/14/16,11:30:00 AM,0,59.5,0,0,0,0,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,11/16/16,11:20:00 AM,59.5,107.3333333,0,0,0,0,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,11/18/16,9:45:00 AM,107.3333333,153.75,0,0,0,0,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,11/20/16,11:40:00 AM,153.75,203.6666667,1,0,1,0,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,11/22/16,1:00:00 PM,203.6666667,253,1,0,0,0,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,11/24/16,10:45:00 AM,253,298.75,1,0,0,0,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,11/26/16,8:45:00 AM,298.75,344.75,3,0,2,0,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,11/28/16,12:00:00 PM,344.75,396,4,1,1,1,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,11/30/16,1:00:00 PM,396,445,4,1,0,0,,
4,7,1,2,208-1,15,11/12/16,12:00:00 AM,12/2/16,9:00 PM,445,501,5,1,1,0,,
4,7,1,2,208-1,15,,,,,501,Inf,9,1,4,0,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,11/14/16,11:30:00 AM,0,59.5,0,0,0,0,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,11/16/16,11:20:00 AM,59.5,107.3333333,0,0,0,0,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,11/18/16,9:45:00 AM,107.3333333,153.75,0,0,0,0,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,11/20/16,11:40:00 AM,153.75,203.6666667,0,1,0,1,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,11/22/16,1:00:00 PM,203.6666667,253,0,1,0,0,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,11/24/16,10:45:00 AM,253,298.75,0,1,0,0,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,11/26/16,8:45:00 AM,298.75,344.75,0,1,0,0,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,11/28/16,12:00:00 PM,344.75,396,1,1,1,0,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,11/30/16,1:00:00 PM,396,445,1,1,0,0,,
4,7,1,3,141-2,20,11/12/16,12:00:00 AM,12/2/16,9:00 PM,445,501,1,8,0,7,,
4,7,1,3,141-2,20,,,,,501,Inf,2,8,1,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,11/14/16,11:30:00 AM,0,59.5,0,0,0,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,11/16/16,11:20:00 AM,59.5,107.3333333,0,0,0,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,11/18/16,9:45:00 AM,107.3333333,153.75,1,0,1,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,11/20/16,11:40:00 AM,153.75,203.6666667,1,0,0,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,11/22/16,1:00:00 PM,203.6666667,253,2,0,1,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,11/24/16,10:45:00 AM,253,298.75,4,0,2,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,11/26/16,8:45:00 AM,298.75,344.75,5,0,1,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,11/28/16,12:00:00 PM,344.75,396,5,0,0,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,11/30/16,1:00:00 PM,396,445,6,0,1,0,,
4,7,1,4,188-1,10,11/12/16,12:00:00 AM,12/2/16,9:00 PM,445,501,6,0,0,0,,
4,7,1,4,188-1,10,,,,,501,Inf,8,2,2,2,,
