rep,run,shelf,plate,line,trt,type,end,status,germinated,,
4,7,1,2,208-1,15,,59.5,1,0,,
4,7,1,2,208-1,15,,107.3333333,1,0,,
4,7,1,2,208-1,15,,153.75,1,0,,
4,7,1,2,208-1,15,,203.6666667,1,1,,
4,7,1,2,208-1,15,,253,1,0,,
4,7,1,2,208-1,15,,298.75,1,0,,
4,7,1,2,208-1,15,,344.75,1,2,,
4,7,1,2,208-1,15,,396,1,1,,
4,7,1,2,208-1,15,,445,1,0,,
4,7,1,2,208-1,15,,501,1,1,,
4,7,1,2,208-1,15,,Inf,1,4,,
4,7,1,3,141-2,20,,59.5,1,0,,
4,7,1,3,141-2,20,,107.3333333,1,0,,
4,7,1,3,141-2,20,,153.75,1,0,,
4,7,1,3,141-2,20,,203.6666667,1,0,,
4,7,1,3,141-2,20,,253,1,0,,
4,7,1,3,141-2,20,,298.75,1,0,,
4,7,1,3,141-2,20,,344.75,1,0,,
4,7,1,3,141-2,20,,396,1,1,,
4,7,1,3,141-2,20,,445,1,0,,
4,7,1,3,141-2,20,,501,1,0,,
4,7,1,3,141-2,20,,Inf,1,1,,
4,7,1,4,188-1,10,,59.5,1,0,,
4,7,1,4,188-1,10,,107.3333333,1,0,,
4,7,1,4,188-1,10,,153.75,1,1,,
4,7,1,4,188-1,10,,203.6666667,1,0,,
4,7,1,4,188-1,10,,253,1,1,,
4,7,1,4,188-1,10,,298.75,1,2,,
4,7,1,4,188-1,10,,344.75,1,1,,
4,7,1,4,188-1,10,,396,1,0,,
4,7,1,4,188-1,10,,445,1,1,,
4,7,1,4,188-1,10,,501,1,0,,
4,7,1,4,188-1,10,,Inf,1,2,,
4,7,1,5,156-1,20,,59.5,1,0,,
4,7,1,5,156-1,20,,107.3333333,1,0,,
4,7,1,5,156-1,20,,153.75,1,0,,
4,7,1,5,156-1,20,,203.6666667,1,0,,
4,7,1,5,156-1,20,,253,1,0,,
4,7,1,5,156-1,20,,298.75,1,0,,
4,7,1,5,156-1,20,,344.75,1,0,,
4,7,1,5,156-1,20,,396,1,0,,
4,7,1,5,156-1,20,,445,1,0,,
4,7,1,5,156-1,20,,501,1,0,,
4,7,1,5,156-1,20,,Inf,1,8,,
4,7,1,6,156-2,20,,59.5,1,0,,
4,7,1,6,156-2,20,,107.3333333,1,0,,
4,7,1,6,156-2,20,,153.75,1,0,,
4,7,1,6,156-2,20,,203.6666667,1,0,,
4,7,1,6,156-2,20,,253,1,0,,
4,7,1,6,156-2,20,,298.75,1,0,,
4,7,1,6,156-2,20,,344.75,1,0,,
4,7,1,6,156-2,20,,396,1,0,,
4,7,1,6,156-2,20,,445,1,0,,
4,7,1,6,156-2,20,,501,1,0,,
4,7,1,6,156-2,20,,Inf,1,10,,
4,7,1,7,75-1,15,,59.5,1,0,,
4,7,1,7,75-1,15,,107.3333333,1,0,,
4,7,1,7,75-1,15,,153.75,1,1,,
4,7,1,7,75-1,15,,203.6666667,1,0,,
4,7,1,7,75-1,15,,253,1,0,,
4,7,1,7,75-1,15,,298.75,1,0,,
4,7,1,7,75-1,15,,344.75,1,0,,
4,7,1,7,75-1,15,,396,1,0,,
4,7,1,7,75-1,15,,445,1,0,,
4,7,1,7,75-1,15,,501,1,0,,
4,7,1,7,75-1,15,,Inf,1,9,,
4,7,1,8,148-2,0,,59.5,1,0,,
4,7,1,8,148-2,0,,107.3333333,1,1,,
4,7,1,8,148-2,0,,153.75,1,2,,
4,7,1,8,148-2,0,,203.6666667,1,0,,
4,7,1,8,148-2,0,,253,1,2,,
4,7,1,8,148-2,0,,298.75,1,0,,
4,7,1,8,148-2,0,,344.75,1,0,,
4,7,1,8,148-2,0,,396,1,0,,
4,7,1,8,148-2,0,,445,1,0,,
4,7,1,8,148-2,0,,501,1,0,,
4,7,1,8,148-2,0,,Inf,1,1,,
4,7,1,9,91-1,10,,59.5,1,0,,
4,7,1,9,91-1,10,,107.3333333,1,0,,
4,7,1,9,91-1,10,,153.75,1,0,,
4,7,1,9,91-1,10,,203.6666667,1,0,,
4,7,1,9,91-1,10,,253,1,2,,
4,7,1,9,91-1,10,,298.75,1,1,,
4,7,1,9,91-1,10,,344.75,1,1,,
4,7,1,9,91-1,10,,396,1,0,,
4,7,1,9,91-1,10,,445,1,0,,
4,7,1,9,91-1,10,,501,1,0,,
4,7,1,9,91-1,10,,Inf,1,4,,
4,7,1,10,Johnny's,0,,59.5,1,0,,
4,7,1,10,Johnny's,0,,107.3333333,1,0,,
4,7,1,10,Johnny's,0,,153.75,1,0,,
4,7,1,10,Johnny's,0,,203.6666667,1,0,,
4,7,1,10,Johnny's,0,,253,1,1,,
4,7,1,10,Johnny's,0,,298.75,1,0,,
4,7,1,10,Johnny's,0,,344.75,1,1,,
4,7,1,10,Johnny's,0,,396,1,1,,
4,7,1,10,Johnny's,0,,445,1,0,,
4,7,1,10,Johnny's,0,,501,1,1,,
4,7,1,10,Johnny's,0,,Inf,1,2,,
4,7,1,11,204-2,10,,59.5,1,NA,,
4,7,1,11,204-2,10,,107.3333333,1,NA,,
4,7,1,11,204-2,10,,153.75,1,NA,,
4,7,1,11,204-2,10,,203.6666667,1,NA,,
4,7,1,11,204-2,10,,253,1,NA,,
4,7,1,11,204-2,10,,298.75,1,NA,,
4,7,1,11,204-2,10,,344.75,1,NA,,
4,7,1,11,204-2,10,,396,1,NA,,
4,7,1,11,204-2,10,,445,1,NA,,
4,7,1,11,204-2,10,,501,1,NA,,
4,7,1,11,204-2,10,,Inf,1,NA,,
4,7,1,12,135-1,0,,59.5,1,0,,
4,7,1,12,135-1,0,,107.3333333,1,4,,
4,7,1,12,135-1,0,,153.75,1,3,,
4,7,1,12,135-1,0,,203.6666667,1,0,,
4,7,1,12,135-1,0,,253,1,2,,
4,7,1,12,135-1,0,,298.75,1,0,,
4,7,1,12,135-1,0,,344.75,1,0,,
4,7,1,12,135-1,0,,396,1,0,,
4,7,1,12,135-1,0,,445,1,0,,
4,7,1,12,135-1,0,,501,1,0,,
4,7,1,12,135-1,0,,Inf,1,0,,
4,7,1,13,146-1,10,,59.5,1,0,,
4,7,1,13,146-1,10,,107.3333333,1,1,,
4,7,1,13,146-1,10,,153.75,1,2,,
4,7,1,13,146-1,10,,203.6666667,1,0,,
4,7,1,13,146-1,10,,253,1,3,,
4,7,1,13,146-1,10,,298.75,1,1,,
4,7,1,13,146-1,10,,344.75,1,0,,
4,7,1,13,146-1,10,,396,1,0,,
4,7,1,13,146-1,10,,445,1,0,,
4,7,1,13,146-1,10,,501,1,0,,
4,7,1,13,146-1,10,,Inf,1,0,,
4,7,1,14,81-2,10,,59.5,1,0,,
4,7,1,14,81-2,10,,107.3333333,1,9,,
4,7,1,14,81-2,10,,153.75,1,0,,
4,7,1,14,81-2,10,,203.6666667,1,0,,
4,7,1,14,81-2,10,,253,1,0,,
4,7,1,14,81-2,10,,298.75,1,0,,
4,7,1,14,81-2,10,,344.75,1,0,,
4,7,1,14,81-2,10,,396,1,0,,
4,7,1,14,81-2,10,,445,1,0,,
4,7,1,14,81-2,10,,501,1,0,,
4,7,1,14,81-2,10,,Inf,1,0,,
4,7,1,15,138-1,10,,59.5,1,0,,
4,7,1,15,138-1,10,,107.3333333,1,3,,
4,7,1,15,138-1,10,,153.75,1,0,,
4,7,1,15,138-1,10,,203.6666667,1,1,,
4,7,1,15,138-1,10,,253,1,0,,
4,7,1,15,138-1,10,,298.75,1,0,,
4,7,1,15,138-1,10,,344.75,1,0,,
4,7,1,15,138-1,10,,396,1,0,,
4,7,1,15,138-1,10,,445,1,0,,
4,7,1,15,138-1,10,,501,1,1,,
4,7,1,15,138-1,10,,Inf,1,0,,
4,7,1,16,93-1,10,,59.5,1,0,,
4,7,1,16,93-1,10,,107.3333333,1,0,,
