,sampleid,line,rep,run,shelf,plate,trt,type,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
1,CanAbasolo1,215-2,1,1,7,228,0,E3,102.1833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
2,CanAbasolo1,215-2,1,1,5,155,20,E3,542.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
3,CanAbasolo1,215-2,2,3,4,132,0,E3,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
4,CanAbasolo1,215-2,1,1,7,228,0,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
5,CanAbasolo1,215-2,1,1,7,228,0,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
6,CanAbasolo1,215-2,3,5,3,78,10,E3,522,0,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
7,CanAbasolo1,215-2,1,1,5,155,20,E3,542.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
8,CanAbasolo1,215-2,3,5,9,297,0,E3,109.5,1,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
9,CanAbasolo1,215-2,1,1,5,155,20,E3,542.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
10,CanAbasolo1,215-2,2,3,4,132,0,E3,158.2,1,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
11,CanAbasolo1,215-2,1,1,7,228,0,E3,102.1833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
12,CanAbasolo1,215-2,3,5,3,78,10,E3,522,0,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
13,CanAbasolo1,215-2,2,3,4,137,10,E3,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
14,CanAbasolo1,215-2,2,3,4,132,0,E3,158.2,1,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
15,CanAbasolo1,215-2,2,3,4,137,10,E3,158.2,1,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
16,CanAbasolo1,215-2,1,1,9,307,15,E3,150.7333333,1,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
17,CanAbasolo1,215-2,2,3,4,111,20,E3,207.1666667,1,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
18,CanAbasolo1,215-2,2,3,4,132,0,E3,158.2,1,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
19,CanAbasolo1,215-2,2,3,4,111,20,E3,497.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
20,CanAbasolo1,215-2,2,3,4,132,0,E3,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
21,CanAbasolo1,215-2,3,5,8,261,15,E3,522,0,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
22,CanAbasolo1,215-2,3,5,9,291,20,E3,522,0,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
23,CanAbasolo1,215-2,3,5,8,261,15,E3,522,0,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
24,CanAbasolo1,215-2,3,5,9,297,0,E3,522,0,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
25,CanAbasolo1,215-1,1,1,3,96,0,E3,246.05,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
26,CanAbasolo1,215-1,2,3,9,322,15,E3,156.7,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
27,CanAbasolo1,215-1,2,3,3,78,20,E3,157.8666667,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
28,CanAbasolo1,215-2,3,5,3,78,10,E3,522,0,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
29,CanAbasolo1,215-2,1,1,4,125,10,E3,150.4833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
30,CanAbasolo1,215-2,2,3,4,137,10,E3,158.2,1,4,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
31,CanAbasolo1,215-2,2,3,4,137,10,E3,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
32,CanAbasolo1,215-2,1,1,4,125,10,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
33,CanAbasolo1,215-2,2,3,4,121,15,E3,497.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
34,CanAbasolo1,215-2,1,1,4,125,10,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
35,CanAbasolo1,215-2,1,1,7,228,0,E3,102.1833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
36,CanAbasolo1,215-2,1,1,4,125,10,E3,150.4833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
37,CanAbasolo1,215-2,3,5,9,297,0,E3,522,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
38,CanAbasolo1,215-2,1,1,5,155,20,E3,438.45,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
