rep,run,shelf,plate,line,trt,start time,read time,hours,count,notes
1,1,1,1,181-1,0,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,1,181-1,0,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,1,181-1,0,1/18/16 2:30,1/22/16 8:24,101.9,5,
1,1,1,1,181-1,0,1/18/16 2:30,1/24/16 8:50,150.33,8,
1,1,1,1,181-1,0,1/18/16 2:30,1/26/16 8:37,198.12,8,
1,1,1,1,181-1,0,1/18/16 2:30,1/28/16 8:28,245.97,9,
1,1,1,1,181-1,0,1/18/16 2:30,1/30/16 9:25,294.92,8,
1,1,1,1,181-1,0,1/18/16 2:30,2/1/16 8:32,342.03,9,
1,1,1,1,181-1,0,1/18/16 2:30,2/3/16 8:23,389.88,9,
1,1,1,1,181-1,0,1/18/16 2:30,2/5/16 8:08,437.63,9,
1,1,1,2,100-1,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,2,100-1,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,2,100-1,10,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,2,100-1,10,1/18/16 2:30,1/24/16 8:50,150.33,0,
1,1,1,2,100-1,10,1/18/16 2:30,1/26/16 8:37,198.12,0,
1,1,1,2,100-1,10,1/18/16 2:30,1/28/16 8:28,245.97,2,
1,1,1,2,100-1,10,1/18/16 2:30,1/30/16 9:25,294.92,4,
1,1,1,2,100-1,10,1/18/16 2:30,2/1/16 8:32,342.03,6,
1,1,1,2,100-1,10,1/18/16 2:30,2/3/16 8:23,389.88,7,
1,1,1,2,100-1,10,1/18/16 2:30,2/5/16 8:08,437.63,10,
1,1,1,3,75-1,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,3,75-1,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,3,75-1,10,1/18/16 2:30,1/22/16 8:24,101.9,1,
1,1,1,3,75-1,10,1/18/16 2:30,1/24/16 8:50,150.33,4,
1,1,1,3,75-1,10,1/18/16 2:30,1/26/16 8:37,198.12,7,
1,1,1,3,75-1,10,1/18/16 2:30,1/28/16 8:28,245.97,9,
1,1,1,3,75-1,10,1/18/16 2:30,1/30/16 9:25,294.92,9,
1,1,1,3,75-1,10,1/18/16 2:30,2/1/16 8:32,342.03,9,
1,1,1,3,75-1,10,1/18/16 2:30,2/3/16 8:23,389.88,9,
1,1,1,3,75-1,10,1/18/16 2:30,2/5/16 8:08,437.63,9,
1,1,1,4,132-2,15,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,4,132-2,15,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,4,132-2,15,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,4,132-2,15,1/18/16 2:30,1/24/16 8:50,150.33,2,
1,1,1,4,132-2,15,1/18/16 2:30,1/26/16 8:37,198.12,7,
1,1,1,4,132-2,15,1/18/16 2:30,1/28/16 8:28,245.97,8,
1,1,1,4,132-2,15,1/18/16 2:30,1/30/16 9:25,294.92,8,
1,1,1,4,132-2,15,1/18/16 2:30,2/1/16 8:32,342.03,9,
1,1,1,4,132-2,15,1/18/16 2:30,2/3/16 8:23,389.88,9,
1,1,1,4,132-2,15,1/18/16 2:30,2/5/16 8:08,437.63,9,
1,1,1,5,170-1,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,5,170-1,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,5,170-1,10,1/18/16 2:30,1/22/16 8:24,101.9,4,
1,1,1,5,170-1,10,1/18/16 2:30,1/24/16 8:50,150.33,6,
1,1,1,5,170-1,10,1/18/16 2:30,1/26/16 8:37,198.12,6,
1,1,1,5,170-1,10,1/18/16 2:30,1/28/16 8:28,245.97,6,
1,1,1,5,170-1,10,1/18/16 2:30,1/30/16 9:25,294.92,6,
1,1,1,5,170-1,10,1/18/16 2:30,2/1/16 8:32,342.03,6,
1,1,1,5,170-1,10,1/18/16 2:30,2/3/16 8:23,389.88,6,
1,1,1,5,170-1,10,1/18/16 2:30,2/5/16 8:08,437.63,6,
1,1,1,6,173-1,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,6,173-1,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,6,173-1,10,1/18/16 2:30,1/22/16 8:24,101.9,1,
1,1,1,6,173-1,10,1/18/16 2:30,1/24/16 8:50,150.33,5,
1,1,1,6,173-1,10,1/18/16 2:30,1/26/16 8:37,198.12,6,
1,1,1,6,173-1,10,1/18/16 2:30,1/28/16 8:28,245.97,6,
1,1,1,6,173-1,10,1/18/16 2:30,1/30/16 9:25,294.92,6,
1,1,1,6,173-1,10,1/18/16 2:30,2/1/16 8:32,342.03,6,
1,1,1,6,173-1,10,1/18/16 2:30,2/3/16 8:23,389.88,6,
1,1,1,6,173-1,10,1/18/16 2:30,2/5/16 8:08,437.63,6,
1,1,1,7,208-1,15,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,7,208-1,15,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,7,208-1,15,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,7,208-1,15,1/18/16 2:30,1/24/16 8:50,150.33,0,
1,1,1,7,208-1,15,1/18/16 2:30,1/26/16 8:37,198.12,0,
1,1,1,7,208-1,15,1/18/16 2:30,1/28/16 8:28,245.97,0,
1,1,1,7,208-1,15,1/18/16 2:30,1/30/16 9:25,294.92,1,
1,1,1,7,208-1,15,1/18/16 2:30,2/1/16 8:32,342.03,1,
1,1,1,7,208-1,15,1/18/16 2:30,2/3/16 8:23,389.88,4,
1,1,1,7,208-1,15,1/18/16 2:30,2/5/16 8:08,437.63,4,
1,1,1,9,77-1,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,9,77-1,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,9,77-1,10,1/18/16 2:30,1/22/16 8:24,101.9,7,
1,1,1,9,77-1,10,1/18/16 2:30,1/24/16 8:50,150.33,10,
1,1,1,9,77-1,10,1/18/16 2:30,1/26/16 8:37,198.12,10,
1,1,1,9,77-1,10,1/18/16 2:30,1/28/16 8:28,245.97,10,
1,1,1,9,77-1,10,1/18/16 2:30,1/30/16 9:25,294.92,10,
1,1,1,9,77-1,10,1/18/16 2:30,2/1/16 8:32,342.03,10,
1,1,1,9,77-1,10,1/18/16 2:30,2/3/16 8:23,389.88,10,
1,1,1,9,77-1,10,1/18/16 2:30,2/5/16 8:08,437.63,10,
1,1,1,10,174-1,0,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,10,174-1,0,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,10,174-1,0,1/18/16 2:30,1/22/16 8:24,101.9,3,
1,1,1,10,174-1,0,1/18/16 2:30,1/24/16 8:50,150.33,6,
1,1,1,10,174-1,0,1/18/16 2:30,1/26/16 8:37,198.12,8,
1,1,1,10,174-1,0,1/18/16 2:30,1/28/16 8:28,245.97,7,
1,1,1,10,174-1,0,1/18/16 2:30,1/30/16 9:25,294.92,8,
1,1,1,10,174-1,0,1/18/16 2:30,2/1/16 8:32,342.03,7,
1,1,1,10,174-1,0,1/18/16 2:30,2/3/16 8:23,389.88,8,
1,1,1,10,174-1,0,1/18/16 2:30,2/5/16 8:08,437.63,8,
1,1,1,11,100-1,10,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,11,100-1,10,1/18/16 2:30,1/20/16 8:30,54,0,
1,1,1,11,100-1,10,1/18/16 2:30,1/22/16 8:24,101.9,0,
1,1,1,11,100-1,10,1/18/16 2:30,1/24/16 8:50,150.33,1,
1,1,1,11,100-1,10,1/18/16 2:30,1/26/16 8:37,198.12,1,
1,1,1,11,100-1,10,1/18/16 2:30,1/28/16 8:28,245.97,8,
1,1,1,11,100-1,10,1/18/16 2:30,1/30/16 9:25,294.92,6,
1,1,1,11,100-1,10,1/18/16 2:30,2/1/16 8:32,342.03,9,
1,1,1,11,100-1,10,1/18/16 2:30,2/3/16 8:23,389.88,9,
1,1,1,11,100-1,10,1/18/16 2:30,2/5/16 8:08,437.63,9,
1,1,1,12,140-2,15,1/18/16 2:30,1/18/16 2:30,0,0,
1,1,1,12,140-2,15,1/18/16 2:30,1/20/16 8:30,54,0,
