rep,run,shelf,plate,line,trt,read time,start,end,start count,end count,germinated,notes
1,2,7,234,169-1,10,2/13/16 8:42,59.45,107.37,0,10,10,
1,1,7,231,218-2,0,1/24/16 9:07,102.18,150.62,0,10,10,
1,1,1,29,77-1,0,1/24/16 8:50,101.9,150.33,0,10,10,
1,1,7,244,100-1,20,,440.23,Inf,1,10,9,
1,1,2,57,118-2,20,,437.63,Inf,1,10,9,
1,1,9,290,125-2,10,,440.62,Inf,1,10,9,
1,1,5,180,126-2,0,,438.45,Inf,1,10,9,
1,1,2,53,128-2,0,,437.63,Inf,1,10,9,
1,1,3,105,128-2,10,,437.9,Inf,1,10,9,
1,1,3,99,132-1,0,,437.9,Inf,1,10,9,
1,1,2,51,135-2,10,,437.63,Inf,1,10,9,
1,1,9,321,139-1,20,,440.62,Inf,1,10,9,
1,1,5,179,149-2,20,,438.45,Inf,1,10,9,
1,1,5,159,150-2,20,,438.45,Inf,1,10,9,
1,1,7,224,150-2,15,,440.23,Inf,1,10,9,
1,1,4,109,156-2,15,,437.9,Inf,1,10,9,
1,1,2,58,164-2,20,,437.63,Inf,1,10,9,
1,1,4,142,208-2,20,,437.9,Inf,1,10,9,
1,1,3,103,218-1,20,,437.9,Inf,1,10,9,
1,1,9,304,218-2,20,,440.62,Inf,1,10,9,
1,2,5,153,80-1,15,2/13/16 8:36,59.72,107.6,0,9,9,
1,1,2,62,98-1,15,1/22/16 8:27,54,101.95,0,9,9,
1,1,6,208,98-1,20,1/24/16 9:04,102.07,150.57,0,9,9,
1,1,8,266,001-1,0,,440.4,Inf,2,10,8,
1,1,2,38,100-1,15,,437.63,Inf,2,10,8,
1,1,4,131,100-2,20,,437.9,Inf,2,10,8,
1,1,8,269,118-2,10,,440.4,Inf,2,10,8,
1,1,2,46,122-2,10,,437.63,Inf,2,10,8,
1,1,9,312,125-2,15,,440.62,Inf,2,10,8,
1,1,3,79,126-2,15,,437.9,Inf,2,10,8,
1,1,8,272,128-2,15,,440.4,Inf,2,10,8,
1,1,1,28,129-1,0,,437.63,Inf,2,10,8,
1,1,2,55,129-1,15,,437.63,Inf,2,10,8,
1,1,9,295,129-1,10,,440.62,Inf,2,10,8,
1,1,7,235,132-1,20,,440.23,Inf,2,10,8,
1,1,1,12,140-2,15,,437.63,Inf,2,10,8,
1,1,8,264,140-2,20,,440.4,Inf,2,10,8,
1,1,5,154,143-1,0,1/24/16 9:02,102.07,150.53,1,9,8,
1,1,7,252,149-2,15,,440.23,Inf,2,10,8,
1,1,6,196,150-2,0,,439.78,Inf,2,10,8,
1,1,8,278,151-2,15,1/24/16 9:10,102.28,150.67,1,9,8,
1,1,8,288,173-1,15,1/24/16 9:10,102.28,150.67,0,8,8,
1,1,9,293,174-1,15,1/24/16 9:14,102.32,150.73,0,8,8,
1,1,8,283,187-2,0,1/26/16 9:03,150.67,198.55,0,8,8,
1,1,4,112,191-2,10,1/24/16 8:59,101.98,150.48,0,8,8,
1,2,1,10,213-2,0,2/13/16 8:26,60.58,108.43,0,8,8,
1,2,3,108,213-2,15,2/13/16 8:31,60.15,108.02,0,8,8,
1,1,9,316,216-1,10,,440.62,Inf,2,10,8,
1,1,5,178,218-2,15,1/26/16 8:53,150.53,198.38,0,8,8,
1,2,7,223,76-1,15,2/13/16 8:42,59.45,107.37,0,8,8,
1,1,2,41,81-2,10,1/22/16 8:27,54,101.95,0,8,8,
1,1,2,66,84-1,15,1/24/16 8:54,101.95,150.4,1,9,8,
1,1,3,102,84-1,0,1/22/16 8:29,54,101.98,0,8,8,
1,1,1,27,92-1,10,1/22/16 8:24,54,101.9,0,1,8,
1,1,5,161,98-1,0,1/22/16 8:34,54,102.07,0,8,8,
1,1,6,214,Johnny's,20,,439.78,Inf,2,10,8,
1,1,7,227,001-1,10,,440.23,Inf,3,10,7,
1,1,1,11,100-1,10,1/28/16 8:28,198.12,245.97,1,8,7,
1,2,6,211,119-2,0,2/13/16 8:39,59.58,107.48,0,7,7,
1,1,3,76,122-2,15,,437.9,Inf,3,10,7,
1,1,3,77,126-2,10,,437.9,Inf,3,10,7,
1,1,3,101,131-1,20,2/5/16 8:24,390.03,437.9,0,7,7,
1,1,6,213,132-1,15,,439.78,Inf,3,10,7,
1,1,9,320,138-1,10,,440.62,Inf,3,10,7,
1,1,1,14,140-1,0,,437.63,Inf,3,10,7,
1,1,5,151,140-1,15,,438.45,Inf,3,10,7,
1,1,4,128,140-2,0,,437.9,Inf,3,10,7,
1,1,6,199,143-1,10,1/22/16 8:34,54.07,102.07,0,7,7,
1,1,7,248,146-1,20,,440.23,Inf,3,10,7,
1,1,9,302,149-1,15,1/26/16 9:07,150.73,198.62,0,7,7,
1,1,5,153,150-2,10,,438.45,Inf,3,10,7,
1,1,7,242,151-2,0,,440.23,Inf,3,10,7,
1,1,7,232,164-2,0,,440.23,Inf,3,10,7,
1,1,2,68,184-1,15,1/24/16 8:54,101.95,150.4,0,7,7,
1,1,1,32,186-1,20,,437.63,Inf,3,10,7,
1,1,4,115,189-1,0,,437.9,Inf,3,10,7,
1,1,8,257,189-1,20,,440.4,Inf,3,10,7,
1,1,7,249,208-2,10,,440.23,Inf,3,10,7,
1,2,4,109,213-2,10,2/13/16 8:33,59.93,107.8,0,7,7,
1,1,3,78,215-1,15,,437.9,Inf,3,10,7,
1,1,4,125,215-2,10,,437.9,Inf,3,10,7,
1,1,7,228,215-2,0,,440.23,Inf,3,10,7,
1,1,6,216,216-1,0,,439.78,Inf,3,10,7,
1,1,7,220,218-1,0,1/22/16 8:41,54.13,102.18,0,7,7,
1,1,9,292,218-1,15,1/26/16 9:07,150.73,198.62,3,10,7,
1,1,1,34,218-2,10,1/24/16 8:50,101.9,150.33,2,9,7,
1,2,4,134,76-1,0,2/13/16 8:33,59.93,107.8,0,7,7,
1,1,1,9,77-1,10,1/22/16 8:24,54,101.9,0,7,7,
1,2,5,178,79-2,10,2/13/16 8:36,59.72,107.6,0,7,7,
1,2,6,185,79-2,0,2/13/16 8:39,59.58,107.48,0,7,7,
1,1,1,15,81-2,20,1/26/16 8:37,150.33,198.12,1,8,7,
1,1,5,171,84-1,10,1/22/16 8:34,54,102.07,0,7,7,
1,2,6,200,88-1,15,2/13/16 8:39,59.58,107.48,0,7,7,
1,2,6,205,91-1,20,2/13/16 8:39,59.58,107.48,0,7,7,
