rep,run,shelf,plate,line,trt,start time,start hour,end time,end hour,start germ,end germ,germinated
1,2,1,1,185-1,20,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,1,185-1,20,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,0,0
1,2,1,1,185-1,20,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,0,0,0
1,2,1,1,185-1,20,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,0,0,0
1,2,1,1,185-1,20,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,0,0,0
1,2,1,1,185-1,20,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,0,6,6
1,2,1,1,185-1,20,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,6,8,2
1,2,1,1,185-1,20,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,8,8,0
1,2,1,1,185-1,20,2/08/16 20:00,396.2833333,2/27/16 10:00,446,8,9,1
1,2,1,1,185-1,20,2/08/16 20:00,446,2/29/16 11:07,495.1166667,9,9,0
1,2,1,1,185-1,20,,495.1166667,,Inf,9,10,1
1,2,1,3,177-1,10,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,3,177-1,10,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,2,2
1,2,1,3,177-1,10,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,2,2,0
1,2,1,3,177-1,10,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,2,2,0
1,2,1,3,177-1,10,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,2,2,0
1,2,1,3,177-1,10,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,2,2,0
1,2,1,3,177-1,10,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,2,2,0
1,2,1,3,177-1,10,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,2,3,1
1,2,1,3,177-1,10,2/08/16 20:00,396.2833333,2/27/16 10:00,446,3,3,0
1,2,1,3,177-1,10,2/08/16 20:00,446,2/29/16 11:07,495.1166667,3,3,0
1,2,1,3,177-1,10,,495.1166667,,Inf,3,10,7
1,2,1,4,145-2,15,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,4,145-2,15,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,1,1
1,2,1,4,145-2,15,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,1,5,4
1,2,1,4,145-2,15,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,5,5,0
1,2,1,4,145-2,15,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,5,5,0
1,2,1,4,145-2,15,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,5,6,1
1,2,1,4,145-2,15,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,6,6,0
1,2,1,4,145-2,15,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,6,6,0
1,2,1,4,145-2,15,2/08/16 20:00,396.2833333,2/27/16 10:00,446,6,6,0
1,2,1,4,145-2,15,2/08/16 20:00,446,2/29/16 11:07,495.1166667,6,6,0
1,2,1,4,145-2,15,,495.1166667,,Inf,6,10,4
1,2,1,5,120-1,20,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,5,120-1,20,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,1,1
1,2,1,5,120-1,20,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,1,3,2
1,2,1,5,120-1,20,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,3,3,0
1,2,1,5,120-1,20,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,3,4,1
1,2,1,5,120-1,20,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,4,4,0
1,2,1,5,120-1,20,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,4,4,0
1,2,1,5,120-1,20,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,4,4,0
1,2,1,5,120-1,20,2/08/16 20:00,396.2833333,2/27/16 10:00,446,4,4,0
1,2,1,5,120-1,20,2/08/16 20:00,446,2/29/16 11:07,495.1166667,4,4,0
1,2,1,5,120-1,20,,495.1166667,,Inf,4,10,6
1,2,1,6,139-2,20,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,6,139-2,20,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,0,0
1,2,1,6,139-2,20,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,0,0,0
1,2,1,6,139-2,20,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,0,0,0
1,2,1,6,139-2,20,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,0,5,5
1,2,1,6,139-2,20,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,5,6,1
1,2,1,6,139-2,20,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,6,7,1
1,2,1,6,139-2,20,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,7,7,0
1,2,1,6,139-2,20,2/08/16 20:00,396.2833333,2/27/16 10:00,446,7,7,0
1,2,1,6,139-2,20,2/08/16 20:00,446,2/29/16 11:07,495.1166667,7,7,0
1,2,1,6,139-2,20,,495.1166667,,Inf,7,10,3
1,2,1,7,217-1,10,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,7,217-1,10,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,2,2
1,2,1,7,217-1,10,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,2,4,2
1,2,1,7,217-1,10,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,4,8,4
1,2,1,7,217-1,10,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,8,9,1
1,2,1,7,217-1,10,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,9,9,0
1,2,1,7,217-1,10,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,9,10,1
1,2,1,7,217-1,10,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,10,10,0
1,2,1,7,217-1,10,2/08/16 20:00,396.2833333,2/27/16 10:00,446,10,10,0
1,2,1,7,217-1,10,2/08/16 20:00,446,2/29/16 11:07,495.1166667,10,10,0
1,2,1,7,217-1,10,,495.1166667,,Inf,10,10,0
1,2,1,8,134-2,15,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,8,134-2,15,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,0,0
1,2,1,8,134-2,15,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,0,1,1
1,2,1,8,134-2,15,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,1,6,5
1,2,1,8,134-2,15,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,6,6,0
1,2,1,8,134-2,15,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,6,6,0
1,2,1,8,134-2,15,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,6,7,1
1,2,1,8,134-2,15,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,7,7,0
1,2,1,8,134-2,15,2/08/16 20:00,396.2833333,2/27/16 10:00,446,7,7,0
1,2,1,8,134-2,15,2/08/16 20:00,446,2/29/16 11:07,495.1166667,7,7,0
1,2,1,8,134-2,15,,495.1166667,,Inf,7,10,3
1,2,1,10,213-2,0,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,10,213-2,0,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,8,8
1,2,1,10,213-2,0,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,8,9,1
1,2,1,10,213-2,0,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,9,10,1
1,2,1,10,213-2,0,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,10,10,0
1,2,1,10,213-2,0,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,10,10,0
1,2,1,10,213-2,0,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,10,10,0
1,2,1,10,213-2,0,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,10,10,0
1,2,1,10,213-2,0,2/08/16 20:00,396.2833333,2/27/16 10:00,446,10,10,0
1,2,1,10,213-2,0,2/08/16 20:00,446,2/29/16 11:07,495.1166667,10,10,0
1,2,1,10,213-2,0,,495.1166667,,Inf,10,10,0
1,2,1,11,139-2,10,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,11,139-2,10,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,5,5
1,2,1,11,139-2,10,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,5,8,3
1,2,1,11,139-2,10,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,8,8,0
1,2,1,11,139-2,10,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,8,8,0
1,2,1,11,139-2,10,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,8,8,0
1,2,1,11,139-2,10,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,8,8,0
1,2,1,11,139-2,10,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,8,9,1
1,2,1,11,139-2,10,2/08/16 20:00,396.2833333,2/27/16 10:00,446,9,9,0
1,2,1,11,139-2,10,2/08/16 20:00,446,2/29/16 11:07,495.1166667,9,9,0
1,2,1,11,139-2,10,,495.1166667,,Inf,9,10,1
1,2,1,12,144-2,20,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,12,144-2,20,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,1,1
1,2,1,12,144-2,20,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,1,6,5
1,2,1,12,144-2,20,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,6,9,3
1,2,1,12,144-2,20,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,9,9,0
1,2,1,12,144-2,20,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,9,9,0
1,2,1,12,144-2,20,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,9,9,0
1,2,1,12,144-2,20,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,9,9,0
1,2,1,12,144-2,20,2/08/16 20:00,396.2833333,2/27/16 10:00,446,9,9,0
1,2,1,12,144-2,20,2/08/16 20:00,446,2/29/16 11:07,495.1166667,9,9,0
1,2,1,12,144-2,20,,495.1166667,,Inf,9,10,1
1,2,1,13,77-2,10,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,13,77-2,10,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,6,6
1,2,1,13,77-2,10,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,6,9,3
1,2,1,13,77-2,10,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,9,9,0
1,2,1,13,77-2,10,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,9,9,0
1,2,1,13,77-2,10,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,9,9,0
1,2,1,13,77-2,10,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,9,9,0
1,2,1,13,77-2,10,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,9,9,0
1,2,1,13,77-2,10,2/08/16 20:00,396.2833333,2/27/16 10:00,446,9,9,0
1,2,1,13,77-2,10,2/08/16 20:00,446,2/29/16 11:07,495.1166667,9,9,0
1,2,1,13,77-2,10,,495.1166667,,Inf,9,10,1
1,2,1,14,188-2,0,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,14,188-2,0,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,0,0
1,2,1,14,188-2,0,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,0,1,1
1,2,1,14,188-2,0,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,1,4,3
1,2,1,14,188-2,0,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,4,8,4
1,2,1,14,188-2,0,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,8,10,2
1,2,1,14,188-2,0,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,10,10,0
1,2,1,14,188-2,0,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,10,10,0
1,2,1,14,188-2,0,2/08/16 20:00,396.2833333,2/27/16 10:00,446,10,10,0
1,2,1,14,188-2,0,2/08/16 20:00,446,2/29/16 11:07,495.1166667,10,10,0
1,2,1,14,188-2,0,,495.1166667,,Inf,10,10,0
1,2,1,15,119-2,10,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,15,119-2,10,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,0,0
1,2,1,15,119-2,10,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,0,1,1
1,2,1,15,119-2,10,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,1,3,2
1,2,1,15,119-2,10,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,3,5,2
1,2,1,15,119-2,10,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,5,5,0
1,2,1,15,119-2,10,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,5,6,1
1,2,1,15,119-2,10,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,6,6,0
1,2,1,15,119-2,10,2/08/16 20:00,396.2833333,2/27/16 10:00,446,6,6,0
1,2,1,15,119-2,10,2/08/16 20:00,446,2/29/16 11:07,495.1166667,6,6,0
1,2,1,15,119-2,10,,495.1166667,,Inf,6,10,4
1,2,1,16,185-1,10,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,16,185-1,10,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,0,0
1,2,1,16,185-1,10,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,0,1,1
1,2,1,16,185-1,10,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,1,8,7
1,2,1,16,185-1,10,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,8,9,1
1,2,1,16,185-1,10,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,9,10,1
1,2,1,16,185-1,10,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,10,10,0
1,2,1,16,185-1,10,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,10,10,0
1,2,1,16,185-1,10,2/08/16 20:00,396.2833333,2/27/16 10:00,446,10,10,0
1,2,1,16,185-1,10,2/08/16 20:00,446,2/29/16 11:07,495.1166667,10,10,0
1,2,1,16,185-1,10,,495.1166667,,Inf,10,10,0
1,2,1,17,174-2,20,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,17,174-2,20,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,0,0
1,2,1,17,174-2,20,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,0,0,0
1,2,1,17,174-2,20,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,0,3,3
1,2,1,17,174-2,20,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,3,8,5
1,2,1,17,174-2,20,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,8,9,1
1,2,1,17,174-2,20,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,9,9,0
1,2,1,17,174-2,20,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,9,9,0
1,2,1,17,174-2,20,2/08/16 20:00,396.2833333,2/27/16 10:00,446,9,9,0
1,2,1,17,174-2,20,2/08/16 20:00,446,2/29/16 11:07,495.1166667,9,9,0
1,2,1,17,174-2,20,,495.1166667,,Inf,9,10,1
1,2,1,18,150-1,15,2/08/16 20:00,0,2/11/16 08:35,60.58333333,0,0,0
1,2,1,18,150-1,15,2/08/16 20:00,60.58333333,2/13/16 08:26,108.4333333,0,6,6
1,2,1,18,150-1,15,2/08/16 20:00,108.4333333,2/15/16 08:21,156.35,6,9,3
1,2,1,18,150-1,15,2/08/16 20:00,156.35,2/17/16 10:20,206.3333333,9,9,0
1,2,1,18,150-1,15,2/08/16 20:00,206.3333333,2/19/16 10:04,254.0666667,9,9,0
1,2,1,18,150-1,15,2/08/16 20:00,254.0666667,2/21/16 11:20,303.3333333,9,9,0
1,2,1,18,150-1,15,2/08/16 20:00,303.3333333,2/23/16 09:57,349.95,9,9,0
1,2,1,18,150-1,15,2/08/16 20:00,349.95,2/25/16 08:17,396.2833333,9,9,0
1,2,1,18,150-1,15,2/08/16 20:00,396.2833333,2/27/16 10:00,446,9,9,0
