Line,Pedigree,Planting Date,Landrace.abb,SampleID,loc_ID
75-1,14CRo75-1,11/10/14,CRo,CanAnil1,4
75-2,14CRo75-2,11/10/14,CRo,CanAnil1,4
76-1,14CRo76-1,11/10/14,CRo,CanAnil2,4
76-2,14CRo76-2,11/10/14,CRo,CanAnil2,4
77-1,14CRo77-1,11/10/14,CRo,CanAnil3,4
77-2,14CRo77-2,11/10/14,CRo,CanAnil3,4
79-1,14CRo79-1,11/10/14,CRo,CanAnil5,4
79-2,14CRo79-2,11/10/14,CRo,CanAnil5,4
80-1,14CRo80-1,11/10/14,CRo,CanAnil6,4
81-1,14CAm81-1,11/10/14,Cam,CanAnil7,4
81-2,14CAm81-2,11/10/14,Cam,CanAnil7,4
84-1,14CRo84-1,11/10/14,CRo,CanGpe1,10
88-1,14Piq88-1,11/10/14,Piq,CanHuax2,11
91-1,14FPi91-1,11/10/14,FPi,CfrHuax5,11
92-1,14FPi92-1,11/10/14,Fpi,CfrHuax6,11
93-1,14Tus93-1,11/10/14,Tus,CanJuan1,12
93-2,14Tus93-2,11/10/14,Tus,CanJuan1,12
98-1,14CRo98-1,11/10/14,CRo,CanLag4,17
98-2,14CRo98-2,11/10/14,CRo,CanLag4,17
100-1,14FBo100-1,11/10/14,FBo,CfrLaguna1,18
100-2,14FBo100-2,11/10/14,FBo,CfrLaguna1,18
102-1,14Fru102-1,11/10/14,Fru,CfrReyes2,19
103-1,14Fru103-1,11/10/14,Fru,CfrReyes3,19
103-2,14Fru103-2,11/10/14,Fru,CfrReyes3,19
104-1,14Fru104-1,11/10/14,Fru,CfrReyes4,19
104-2,14Fru104-2,11/10/14,Fru,CfrReyes4,19
105-1,14Tus105-1,11/10/14,Tus,CanReyes1,20
105-2,14Tus105-2,11/10/14,Tus,CanReyes1,20
106-1,14Tus106-1,11/10/14,Tus,CanReyes2,20
106-2,14Tus106-2,11/10/14,Tus,CanReyes2,20
107-1,14Tus107-1,11/10/14,Tus,CanReyes3,20
107-2,14Tus107-2,11/10/14,Tus,CanReyes3,20
108-1,14Tus108-1,11/10/14,Tus,CanReyes4,19
109-1,14Mir109-1,11/10/14,Mir,CfrPind1,23
109-2,14Mir109-2,11/10/14,Mir,CfrPind1,23
112-1,14Tus112-1,11/10/14,Tus,CanPind2,23
112-2,14Tus112-2,11/10/14,Tus,CanPind2,23
116-1,14CdM116-1,11/10/14,CdM,CanPol9,24
116-2,14CdM116-2,11/10/14,CdM,CanPol9,24
117-1,14CdM117-1,11/10/14,CdM,CanPol10,25
117-2,14CdM117-2,11/10/14,CdM,CanPol10,25
118-1,14Chg118-1,11/10/14,Chg,CanRS1,30
118-2,14Chg118-2,11/10/14,Chg,CanRS1,30
119-1,14Chg119-1,11/10/14,Chg,CanRS2,30
119-2,14Chg119-2,11/10/14,Chg,CanRS2,30
120-1,14CRo120-1,11/10/14,CRo,CanRose1,33
120-2,14CRo120-2,11/10/14,CRo,CanRose1,33
121-1,14CRo121-1,11/10/14,CRo,CanRose2,33
122-1,14CRo122-1,11/10/14,CRo,CanRose3,33
122-2,14CRo122-2,11/10/14,CRo,CanRose3,33
124-1,14CMa124-1,11/10/14,CMa,CanSaa1,36
124-2,14CMa124-2,11/10/14,CMa,CanSaa1,36
125-1,14Slt125-1,11/10/14,Slt,CanSaa2,36
125-2,14Slt125-2,11/10/14,Slt,CanSaa2,36
126-1,14CdM126-1,11/10/14,CdM,CanSaa3,35
126-2,14CdM126-2,11/10/14,CdM,CanSaa3,35
127-1,14CdM127-1,11/10/14,CdM,CanSaa5,35
127-2,14CdM127-2,11/10/14,CdM,CanSaa5,35
128-1,14CAg128-1,11/10/14,CAg,CanCoat2,5
128-2,14CAg128-2,11/10/14,CAg,CanCoat2,5
129-1,14CAg129-1,11/10/14,CAg,CanCoat4,5
130-1,14CAg130-1,11/10/14,CAg,CanCoat5,5
130-2,14CAg130-2,11/10/14,CAg,CanCoat5,5
131-1,14CAg131-1,11/10/14,CAg,CanCoat6,5
131-2,14CAg131-2,11/10/14,CAg,CanCoat6,5
132-1,14CAg132-1,11/10/14,CAg,CanCoat7,5
132-2,14CAg132-2,11/10/14,CAg,CanCoat7,5
133-1,14CAg133-1,11/10/14,CAg,CanCoat8,5
134-1,14CAg134-1,11/10/14,CAg,CanLabor1,13
134-2,14CAg134-2,11/10/14,CAg,CanLabor1,13
135-1,14CAg135-1,11/10/14,CAg,CanLabor2,13
135-2,14CAg135-2,11/10/14,CAg,CanLabor2,13
136-1,14CAg136-1,11/10/14,CAg,CanLabor3,13
136-2,14CAg136-2,11/10/14,CAg,CanLabor3,13
137-1,14CAg137-1,11/10/14,CAg,CanLabor4,13
137-2,14CAg137-2,11/10/14,CAg,CanLabor4,13
138-1,14CAg138-1,11/10/14,CAg,CanLabor5,13
138-2,14CAg138-2,11/10/14,CAg,CanLabor5,13
139-1,14CAg139-1,11/10/14,CAg,CanLabor6,13
139-2,14CAg139-2,11/10/14,CAg,CanLabor6,13
140-1,14CAg140-1,11/10/14,CAg,CanLobera1,14
140-2,14CAg140-2,11/10/14,CAg,CanLobera1,14
141-1,14CAg141-1,11/10/14,CAg,CanLobera2,14
141-2,14CAg141-2,11/10/14,CAg,CanLobera2,14
142-1,14CAg142-1,11/10/14,CAg,CanLobera3,14
142-2,14CAg142-2,11/10/14,CAg,CanLobera3,14
143-1,14CAg143-1,11/10/14,CAg,CanLobera4,14
143-2,14CAg143-2,11/10/14,CAg,CanLobera4,14
144-1,14CAg144-1,11/10/14,CAg,CanLobera5,14
144-2,14CAg144-2,11/10/14,CAg,CanLobera5,14
