,uniqueplate,viable.x,germ,perc_germ,perc_notgerm,perc_viable,delay,germ50,t50,germ25,t25,germ75,t75,rategerm,uniform,sampleid,line,rep,run,shelf,plate,trt,end,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use
1,1_1,10,9,0.9,0.1,1,101.9,5,101.9,2.5,101.9,7.5,150.3,0.009813543,48.4,CanSPablo4,181-1,1,1,1,1,0,101.9,14Tav181-1,11/10/14,Tav,central valleys,Tav_37,landrace,Taviche,Milpa,Dry
11,1_10,8,8,1,0,0.8,101.9,4,150.3,2,101.9,6,150.3,0.00665336,48.4,CanStaCruz15,174-1,1,1,1,10,0,101.9,14CAg174-1,11/10/14,CAg,central valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
21,1_100,10,7,0.7,0.3,1,150.4,5,150.4,2.5,150.4,7.5,NA,0.006648936,NA,CfrHuax6,92-1,1,1,3,100,20,150.4,14FPi92-1,11/10/14,Fpi,wcoast,FPi_6,landrace,Piquin,Backyard,Fresh
31,1_102,9,9,1,0,0.9,102,4.5,102,2.25,102,6.75,102,0.009803922,0,CanGpe1,84-1,1,1,3,102,0,102,14CRo84-1,11/10/14,CRo,wcoast,CRo_2,landrace,Costeno Rojo,Plantation,Dry
41,1_103,10,1,0.1,0.9,1,437.9,5,NA,2.5,NA,7.5,NA,0,NA,CanRanchoLlano3B,218-1,1,1,3,103,20,542.5,14GDa218-1,11/10/14,GDa,ecoast,GDa_15,landrace,Guina Dahni,Plantation,Dry
51,1_108,8,7,0.875,0.125,0.8,102,4,198.2,2,102,6,295.1,0.005045409,193.1,CanCoat6,131-1,1,1,3,108,0,437.9,14CAg131-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh
61,1_11,10,9,0.9,0.1,1,150.3,5,246,2.5,246,7.5,342,0.004065041,96,CfrLaguna1,100-1,1,1,1,11,10,342,14FBo100-1,11/10/14,FBo,ecoast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
71,1_110,9,9,1,0,0.9,198.3,4.5,246.1,2.25,246.1,6.75,295.1,0.004063389,49,CanMani11,208-2,1,1,4,110,0,246.1,14Par208-2,11/10/14,Par,yucatan,Par_48,landrace,Paradito,Backyard,
81,1_112,10,10,1,0,1,150.5,5,150.5,2.5,150.5,7.5,150.5,0.006644518,0,CanEjutla3,191-2,1,1,4,112,10,150.5,14UNK191-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh
91,1_113,8,7,0.875,0.125,0.8,102,4,198.3,2,150.5,6,198.3,0.005042864,47.8,CanStaCruz14,173-2,1,1,4,113,15,542.5,14CAg173-2,11/10/14,CAg,central valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
101,1_114,10,10,1,0,1,150.5,5,246.1,2.5,246.1,7.5,295.1,0.004063389,49,CfrLaguna1,100-1,1,1,4,114,0,198.3,14FBo100-1,11/10/14,FBo,ecoast,FBo_9,landrace,Chile Bolita,Backyard,Fresh
111,1_116,10,9,0.9,0.1,1,198.3,5,246.1,2.5,246.1,7.5,295.1,0.004063389,49,CanStaCruz14,173-1,1,1,4,116,20,295.1,14CAg173-1,11/10/14,CAg,central valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
121,1_118,10,8,0.8,0.2,1,150.5,5,198.3,2.5,198.3,7.5,342.3,0.005042864,144,CanRose7B,165-1,1,1,4,118,20,198.3,14CRo165-1,11/10/14,CRo,ecoast,CRo_32,landrace,Costeno Rojo,Plantation,Dry
