"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"447",447,"CanAnil1","75-1",5029,3,"5",6,207,10,254,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"450",450,"CanAnil1","75-1",5028.2,3,"5",6,207,10,207,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"451",451,"CanAnil1","75-1",5030,3,"5",6,207,10,493.5,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"460",460,"CanAnil1","75-1",5027.1,3,"5",6,207,10,156.8,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"463",463,"CanAnil1","75-1",5028.1,3,"5",6,207,10,207,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"525",525,"CanAnil1","75-1",5026,3,"5",6,207,10,109.5,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"529",529,"CanAnil1","75-1",5028,3,"5",6,207,10,207,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"535",535,"CanAnil1","75-1",5026.1,3,"5",6,207,10,109.5,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"537",537,"CanAnil1","75-1",5027,3,"5",6,207,10,156.8,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"542",542,"CanAnil1","75-1",5029.1,3,"5",6,207,10,254,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"589",589,"CanAnil1","75-2",1642.3,1,"2",5,150,15,205.8,1,4,"14CRo75-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_150"
