"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"1",1,"CanAbasolo1","215-1",915,1,"1",7,237,10,246.3,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"3",3,"CanAbasolo1","215-1",913.1,1,"1",7,237,10,102.2,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"8",8,"CanAbasolo1","215-1",3081,2,"3",5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"17",17,"CanAbasolo1","215-1",914,1,"1",7,237,10,150.6,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"31",31,"CanAbasolo1","215-1",917,1,"1",7,237,10,542.5,0,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"36",36,"CanAbasolo1","215-1",3082,2,"3",5,170,10,60.5,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"42",42,"CanAbasolo1","215-1",3082.1,2,"3",5,170,10,60.5,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"56",56,"CanAbasolo1","215-1",2798.1,2,"3",3,78,20,496,0,0,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"58",58,"CanAbasolo1","215-1",918,1,"1",7,237,10,542.5,0,0,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"59",59,"CanAbasolo1","215-1",3083,2,"3",5,170,10,496,0,0,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"64",64,"CanAbasolo1","215-1",2796,2,"3",3,78,20,157.9,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"65",65,"CanAbasolo1","215-1",3081.5,2,"3",5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"66",66,"CanAbasolo1","215-1",2794,2,"3",3,78,20,254.8,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"67",67,"CanAbasolo1","215-1",917.1,1,"1",7,237,10,542.5,0,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"68",68,"CanAbasolo1","215-1",3081.2,2,"3",5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"70",70,"CanAbasolo1","215-1",913.3,1,"1",7,237,10,102.2,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"75",75,"CanAbasolo1","215-1",2796.1,2,"3",3,78,20,157.9,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"76",76,"CanAbasolo1","215-1",3081.1,2,"3",5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"84",84,"CanAbasolo1","215-1",2798,2,"3",3,78,20,496,0,0,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"101",101,"CanAbasolo1","215-1",916,1,"1",7,237,10,440.2,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"104",104,"CanAbasolo1","215-1",3080,2,"3",5,170,10,494.6,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"110",110,"CanAbasolo1","215-1",2796.2,2,"3",3,78,20,157.9,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"123",123,"CanAbasolo1","215-1",3081.4,2,"3",5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"130",130,"CanAbasolo1","215-1",2797,2,"3",3,78,20,496,0,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
"132",132,"CanAbasolo1","215-1",913.2,1,"1",7,237,10,102.2,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","1_237"
"136",136,"CanAbasolo1","215-1",3081.3,2,"3",5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_170"
"148",148,"CanAbasolo1","215-2",7760,4,"8",1,10,20,211,1,1,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"149",149,"CanAbasolo1","215-2",7759.1,4,"8",1,10,20,163.2,1,1,3,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"159",159,"CanAbasolo1","215-2",7762,4,"8",1,10,20,500,0,1,1,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"160",160,"CanAbasolo1","215-2",7761,4,"8",1,10,20,257,1,1,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"162",162,"CanAbasolo1","215-2",7759.2,4,"8",1,10,20,163.2,1,1,3,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"176",176,"CanAbasolo1","215-2",7759,4,"8",1,10,20,163.2,1,1,3,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"229",229,"CanAbasolo1","215-2",7761.1,4,"8",1,10,20,257,1,1,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"257",257,"CanAbasolo1","215-2",7763.1,4,"8",1,10,20,500,0,0,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","8_10"
"275",275,"CanAbasolo1","215-1",2795.1,2,"3",3,78,20,206.8,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa","","3_78"
