,X.1,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
47,47,CanAbasolo1,215-1,2818.5,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
68,68,CanAbasolo1,215-1,2818.2,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
74,74,CanAbasolo1,215-1,2818,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
75,75,CanAbasolo1,215-1,2818.4,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
77,77,CanAbasolo1,215-1,2819.1,2,3,5,170,10,60.5,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
80,80,CanAbasolo1,215-1,2819,2,3,5,170,10,60.5,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
82,82,CanAbasolo1,215-1,2817,2,3,5,170,10,494.6,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
83,83,CanAbasolo1,215-1,2820,2,3,5,170,10,Inf,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
293,293,CanAbasolo1,215-1,2818.1,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
294,294,CanAbasolo1,215-1,2818.3,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,,3_170
1818,1818,CanCoat2,128-1,7975.3,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
1820,1820,CanCoat2,128-1,7977,4,8,1,26,20,308.2,1,1,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
1830,1830,CanCoat2,128-1,7975.5,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
1833,1833,CanCoat2,128-1,7975.4,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
1856,1856,CanCoat2,128-1,3764.4,2,4,5,174,0,114.3,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,4_174
1867,1867,CanCoat2,128-1,3764.5,2,4,5,174,0,114.3,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,4_174
1868,1868,CanCoat2,128-1,7975.2,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
1878,1878,CanCoat2,128-1,7976.1,4,8,1,26,20,257,1,2,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
1883,1883,CanCoat2,128-1,3764.3,2,4,5,174,0,114.3,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,4_174
1888,1888,CanCoat2,128-1,7976,4,8,1,26,20,257,1,2,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
1892,1892,CanCoat2,128-1,7975,4,8,1,26,20,211,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,8_26
1895,1895,CanCoat2,128-1,3764.2,2,4,5,174,0,114.3,1,6,14CAg128-1,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,4_174
1923,1923,CanCoat2,128-2,6952.1,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
1938,1938,CanCoat2,128-2,6953.2,3,6,9,311,15,Inf,1,3,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
1963,1963,CanCoat2,128-2,6953.1,3,6,9,311,15,Inf,1,3,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
1992,1992,CanCoat2,128-2,6952.4,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
1993,1993,CanCoat2,128-2,6952.6,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
1995,1995,CanCoat2,128-2,6953,3,6,9,311,15,Inf,1,3,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
1996,1996,CanCoat2,128-2,6952.5,3,6,9,311,15,527.8,1,7,14CAg128-2,11/10/14,CAg,central valleys,CAg_24,landrace,Chile de Agua,Plantation,Fresh,6_311
