sampleid,line,X,rep,run,shelf,plate,trt,end,status,viable,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
CanAbasolo1,215-1,915,1,1,7,237,10,246.3,1,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAbasolo1,215-1,913.1,1,1,7,237,10,102.2,1,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAbasolo1,215-1,3081,2,3,5,170,10,157.5,1,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,914,1,1,7,237,10,150.6,1,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAbasolo1,215-1,917,1,1,7,237,10,542.5,0,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAbasolo1,215-1,3082,2,3,5,170,10,60.5,1,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,3082.1,2,3,5,170,10,60.5,1,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,918,1,1,7,237,10,542.5,0,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAbasolo1,215-1,3083,2,3,5,170,10,496,0,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,3081.5,2,3,5,170,10,157.5,1,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,917.1,1,1,7,237,10,542.5,0,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAbasolo1,215-1,3081.2,2,3,5,170,10,157.5,1,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,913.3,1,1,7,237,10,102.2,1,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAbasolo1,215-1,3081.1,2,3,5,170,10,157.5,1,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,916,1,1,7,237,10,440.2,1,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAbasolo1,215-1,3080,2,3,5,170,10,494.6,1,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,3081.4,2,3,5,170,10,157.5,1,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,913.2,1,1,7,237,10,102.2,1,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAbasolo1,215-1,3081.3,2,3,5,170,10,157.5,1,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,3_170
CanAbasolo1,215-1,913,1,1,7,237,10,102.2,1,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,NA,1_237
CanAnil1,75-1,82,1,1,1,22,0,150.3,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_22
CanAnil1,75-1,214,1,1,2,54,15,542.5,0,0,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,13.1,1,1,1,3,10,246,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_3
CanAnil1,75-1,7081,4,7,2,50,0,503,0,0,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,2540.1,2,3,1,8,15,158,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_8
CanAnil1,75-1,7079.1,4,7,2,50,0,253,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,6930.7,4,7,1,7,15,503,0,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
CanAnil1,75-1,210.2,1,1,2,54,15,198.2,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,623,1,1,5,157,20,295.1,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_157
CanAnil1,75-1,7079.2,4,7,2,50,0,253,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,210.1,1,1,2,54,15,198.2,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_54
CanAnil1,75-1,624.3,1,1,5,157,20,342.4,1,1,4,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_157
CanAnil1,75-1,5807.2,3,5,6,207,10,207,1,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
CanAnil1,75-1,6930.3,4,7,1,7,15,503,0,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
CanAnil1,75-1,7079.4,4,7,2,50,0,253,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,6930.5,4,7,1,7,15,503,0,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
CanAnil1,75-1,6930.4,4,7,1,7,15,503,0,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
CanAnil1,75-1,7078,4,7,2,50,0,153.8,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,7439.3,4,7,5,179,10,396,1,1,5,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_179
CanAnil1,75-1,624.2,1,1,5,157,20,342.4,1,1,4,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_157
CanAnil1,75-1,6929,4,7,1,7,15,153.8,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
CanAnil1,75-1,5806,3,5,6,207,10,156.8,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
CanAnil1,75-1,5485.1,3,5,3,86,15,156.8,1,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_86
CanAnil1,75-1,6930,4,7,1,7,15,503,0,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
CanAnil1,75-1,83.3,1,1,1,22,0,198.1,1,1,4,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_22
CanAnil1,75-1,7439.4,4,7,5,179,10,396,1,1,5,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_179
CanAnil1,75-1,83.1,1,1,1,22,0,198.1,1,1,4,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_22
CanAnil1,75-1,6930.1,4,7,1,7,15,503,0,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
CanAnil1,75-1,10,1,1,1,3,10,101.9,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_3
CanAnil1,75-1,625,1,1,5,157,20,390.2,1,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_157
CanAnil1,75-1,6930.2,4,7,1,7,15,503,0,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
CanAnil1,75-1,7079,4,7,2,50,0,253,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_50
CanAnil1,75-1,2540.4,2,3,1,8,15,158,1,1,6,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_8
