,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use
1,CanAbasolo1,215-1,827,1,1,7,245,20,295.3833333,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
2,CanAbasolo1,215-1,3104.1,2,3,8,269,0,496,0,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
3,CanAbasolo1,215-1,8870,4,8,8,276,10,356.75,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
4,CanAbasolo1,215-1,2559,2,3,3,78,20,496,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
5,CanAbasolo1,215-1,8869,4,8,8,276,10,211,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
6,CanAbasolo1,215-1,826.3,1,1,7,245,20,198.4833333,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
7,CanAbasolo1,215-1,8620,4,8,6,207,0,211,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
8,CanAbasolo1,215-1,262.1,1,1,3,78,15,542.5,0,7,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
9,CanAbasolo1,215-1,260,1,1,3,78,15,150.4333333,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
10,CanAbasolo1,215-1,3104.3,2,3,8,269,0,496,0,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
11,CanAbasolo1,215-1,261,1,1,3,78,15,198.2166667,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
12,CanAbasolo1,215-1,2558,2,3,3,78,20,157.8666667,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
13,CanAbasolo1,215-1,5683,3,6,2,37,15,120.03,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
