"","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use"
"1","CanAbasolo1","215-1",915,1,1,7,237,10,246.2833333,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"2","CanAbasolo1","215-1",8636,4,8,8,276,10,164,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"3","CanAbasolo1","215-1",913.1,1,1,7,237,10,102.1833333,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"4","CanAbasolo1","215-1",6657.2,3,6,7,248,10,120.03,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"5","CanAbasolo1","215-1",8636.1,4,8,8,276,10,164,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"6","CanAbasolo1","215-1",4939.3,3,6,2,37,15,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"7","CanAbasolo1","215-1",5172.4,3,6,7,248,10,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"8","CanAbasolo1","215-1",3081,2,3,5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"9","CanAbasolo1","215-1",5172.5,3,6,7,248,10,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"10","CanAbasolo1","215-1",8405.3,4,8,6,207,0,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"11","CanAbasolo1","215-1",8405.1,4,8,6,207,0,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"12","CanAbasolo1","215-1",8402,4,8,6,207,0,163.6666667,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"13","CanAbasolo1","215-1",4939,3,6,2,37,15,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"14","CanAbasolo1","215-1",5172.6,3,6,7,248,10,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"15","CanAbasolo1","215-1",8635.2,4,8,8,276,10,114.25,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"16","CanAbasolo1","215-1",8405,4,8,6,207,0,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"17","CanAbasolo1","215-1",914,1,1,7,237,10,150.6166667,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"18","CanAbasolo1","215-1",5172.3,3,6,7,248,10,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"19","CanAbasolo1","215-1",8635,4,8,8,276,10,114.25,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"20","CanAbasolo1","215-1",7932.1,4,8,2,56,20,500,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"21","CanAbasolo1","215-1",5172,3,6,7,248,10,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"22","CanAbasolo1","215-1",7932.2,4,8,2,56,20,500,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"23","CanAbasolo1","215-1",381.2,1,1,3,96,0,542.5,0,0,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"24","CanAbasolo1","215-1",7931.1,4,8,2,56,20,500,0,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"25","CanAbasolo1","215-1",947.3,1,1,7,245,20,542.5,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"26","CanAbasolo1","215-1",379,1,1,3,96,0,246.05,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"27","CanAbasolo1","215-1",8308.2,4,8,5,176,15,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"28","CanAbasolo1","215-1",8308.5,4,8,5,176,15,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"29","CanAbasolo1","215-1",299,1,1,3,78,15,542.5,0,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"30","CanAbasolo1","215-1",379.1,1,1,3,96,0,246.05,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"31","CanAbasolo1","215-1",917,1,1,7,237,10,542.5,0,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"32","CanAbasolo1","215-1",8637.1,4,8,8,276,10,500,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"33","CanAbasolo1","215-1",4306.3,2,3,8,269,0,157.05,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"34","CanAbasolo1","215-1",8637.2,4,8,8,276,10,500,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"35","CanAbasolo1","215-1",300,1,1,3,78,15,542.5,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"36","CanAbasolo1","215-1",3082,2,3,5,170,10,60.45,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"37","CanAbasolo1","215-1",5172.1,3,6,7,248,10,528,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"38","CanAbasolo1","215-1",947.1,1,1,7,245,20,542.5,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"39","CanAbasolo1","215-1",298,1,1,3,78,15,198.2166667,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"40","CanAbasolo1","215-1",8306,4,8,5,176,15,114.25,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"41","CanAbasolo1","215-1",299.1,1,1,3,78,15,542.5,0,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"42","CanAbasolo1","215-1",3082.1,2,3,5,170,10,60.45,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"43","CanAbasolo1","215-1",4306.1,2,3,8,269,0,157.05,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"44","CanAbasolo1","215-1",4916.2,3,6,1,17,0,528,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"45","CanAbasolo1","215-1",8637.4,4,8,8,276,10,500,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"46","CanAbasolo1","215-1",947.2,1,1,7,245,20,542.5,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"47","CanAbasolo1","215-1",381,1,1,3,96,0,542.5,0,0,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"48","CanAbasolo1","215-1",298.1,1,1,3,78,15,198.2166667,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"49","CanAbasolo1","215-1",4916.1,3,6,1,17,0,528,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"50","CanAbasolo1","215-1",4916,3,6,1,17,0,528,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"51","CanAbasolo1","215-1",6186,3,6,2,37,15,167.99,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"52","CanAbasolo1","215-1",4306.2,2,3,8,269,0,157.05,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"53","CanAbasolo1","215-1",378,1,1,3,96,0,150.4333333,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
