"","rep","run","shelf","plate","line","trt","end","status","viable","number"
"1",1,1,1,1,"181-1",0,101.9,1,1,5
"1.1",1,1,1,1,"181-1",0,101.9,1,1,5
"1.2",1,1,1,1,"181-1",0,101.9,1,1,5
"1.3",1,1,1,1,"181-1",0,101.9,1,1,5
"1.4",1,1,1,1,"181-1",0,101.9,1,1,5
"2",1,1,1,1,"181-1",0,150.3333333,1,1,3
"2.1",1,1,1,1,"181-1",0,150.3333333,1,1,3
"2.2",1,1,1,1,"181-1",0,150.3333333,1,1,3
"3",1,1,1,1,"181-1",0,342.0333333,1,1,1
"4",1,1,1,1,"181-1",0,542.5,0,1,1
"5",1,1,1,2,"100-1",10,245.9666667,1,1,2
"5.1",1,1,1,2,"100-1",10,245.9666667,1,1,2
"6",1,1,1,2,"100-1",10,294.9166667,1,1,2
"6.1",1,1,1,2,"100-1",10,294.9166667,1,1,2
"7",1,1,1,2,"100-1",10,342.0333333,1,1,2
"7.1",1,1,1,2,"100-1",10,342.0333333,1,1,2
"8",1,1,1,2,"100-1",10,389.8833333,1,1,1
"9",1,1,1,2,"100-1",10,437.6333333,1,1,3
"9.1",1,1,1,2,"100-1",10,437.6333333,1,1,3
"9.2",1,1,1,2,"100-1",10,437.6333333,1,1,3
"10",1,1,1,3,"75-1",10,101.9,1,1,1
"11",1,1,1,3,"75-1",10,150.3333333,1,1,3
"11.1",1,1,1,3,"75-1",10,150.3333333,1,1,3
"11.2",1,1,1,3,"75-1",10,150.3333333,1,1,3
"12",1,1,1,3,"75-1",10,198.1166667,1,1,3
"12.1",1,1,1,3,"75-1",10,198.1166667,1,1,3
"12.2",1,1,1,3,"75-1",10,198.1166667,1,1,3
"13",1,1,1,3,"75-1",10,245.9666667,1,1,2
"13.1",1,1,1,3,"75-1",10,245.9666667,1,1,2
"14",1,1,1,3,"75-1",10,542.5,0,1,1
"15",1,1,1,4,"132-2",15,150.3333333,1,1,2
"15.1",1,1,1,4,"132-2",15,150.3333333,1,1,2
"16",1,1,1,4,"132-2",15,198.1166667,1,1,5
"16.1",1,1,1,4,"132-2",15,198.1166667,1,1,5
"16.2",1,1,1,4,"132-2",15,198.1166667,1,1,5
"16.3",1,1,1,4,"132-2",15,198.1166667,1,1,5
"16.4",1,1,1,4,"132-2",15,198.1166667,1,1,5
"17",1,1,1,4,"132-2",15,245.9666667,1,1,1
"18",1,1,1,4,"132-2",15,342.0333333,1,1,1
"19",1,1,1,4,"132-2",15,542.5,0,0,1
"20",1,1,1,5,"170-1",10,101.9,1,1,4
"20.1",1,1,1,5,"170-1",10,101.9,1,1,4
"20.2",1,1,1,5,"170-1",10,101.9,1,1,4
"20.3",1,1,1,5,"170-1",10,101.9,1,1,4
"21",1,1,1,5,"170-1",10,150.3333333,1,1,2
"21.1",1,1,1,5,"170-1",10,150.3333333,1,1,2
"22",1,1,1,5,"170-1",10,542.5,0,0,4
"22.1",1,1,1,5,"170-1",10,542.5,0,0,4
"22.2",1,1,1,5,"170-1",10,542.5,0,0,4
"22.3",1,1,1,5,"170-1",10,542.5,0,0,4
"23",1,1,1,6,"173-1",10,101.9,1,1,1
"24",1,1,1,6,"173-1",10,150.3333333,1,1,4
"24.1",1,1,1,6,"173-1",10,150.3333333,1,1,4
"24.2",1,1,1,6,"173-1",10,150.3333333,1,1,4
"24.3",1,1,1,6,"173-1",10,150.3333333,1,1,4
"25",1,1,1,6,"173-1",10,198.1166667,1,1,1
"26",1,1,1,6,"173-1",10,542.5,0,0,4
"26.1",1,1,1,6,"173-1",10,542.5,0,0,4
"26.2",1,1,1,6,"173-1",10,542.5,0,0,4
"26.3",1,1,1,6,"173-1",10,542.5,0,0,4
"27",1,1,1,7,"208-1",15,294.9166667,1,1,1
"28",1,1,1,7,"208-1",15,389.8833333,1,1,3
"28.1",1,1,1,7,"208-1",15,389.8833333,1,1,3
"28.2",1,1,1,7,"208-1",15,389.8833333,1,1,3
"29",1,1,1,7,"208-1",15,542.5,0,1,5
"29.1",1,1,1,7,"208-1",15,542.5,0,1,5
"29.2",1,1,1,7,"208-1",15,542.5,0,1,5
"29.3",1,1,1,7,"208-1",15,542.5,0,1,5
"29.4",1,1,1,7,"208-1",15,542.5,0,1,5
"30",1,1,1,7,"208-1",15,542.5,0,0,1
"31",1,1,1,9,"77-1",10,101.9,1,1,7
"31.1",1,1,1,9,"77-1",10,101.9,1,1,7
"31.2",1,1,1,9,"77-1",10,101.9,1,1,7
"31.3",1,1,1,9,"77-1",10,101.9,1,1,7
"31.4",1,1,1,9,"77-1",10,101.9,1,1,7
"31.5",1,1,1,9,"77-1",10,101.9,1,1,7
"31.6",1,1,1,9,"77-1",10,101.9,1,1,7
"32",1,1,1,9,"77-1",10,150.3333333,1,1,3
"32.1",1,1,1,9,"77-1",10,150.3333333,1,1,3
"32.2",1,1,1,9,"77-1",10,150.3333333,1,1,3
"33",1,1,1,10,"174-1",0,101.9,1,1,3
"33.1",1,1,1,10,"174-1",0,101.9,1,1,3
"33.2",1,1,1,10,"174-1",0,101.9,1,1,3
"34",1,1,1,10,"174-1",0,150.3333333,1,1,3
"34.1",1,1,1,10,"174-1",0,150.3333333,1,1,3
"34.2",1,1,1,10,"174-1",0,150.3333333,1,1,3
"35",1,1,1,10,"174-1",0,198.1166667,1,1,2
"35.1",1,1,1,10,"174-1",0,198.1166667,1,1,2
"36",1,1,1,10,"174-1",0,542.5,0,0,2
"36.1",1,1,1,10,"174-1",0,542.5,0,0,2
"37",1,1,1,11,"100-1",10,150.3333333,1,1,1
"38",1,1,1,11,"100-1",10,245.9666667,1,1,5
"38.1",1,1,1,11,"100-1",10,245.9666667,1,1,5
"38.2",1,1,1,11,"100-1",10,245.9666667,1,1,5
"38.3",1,1,1,11,"100-1",10,245.9666667,1,1,5
"38.4",1,1,1,11,"100-1",10,245.9666667,1,1,5
"39",1,1,1,11,"100-1",10,342.0333333,1,1,3
"39.1",1,1,1,11,"100-1",10,342.0333333,1,1,3
"39.2",1,1,1,11,"100-1",10,342.0333333,1,1,3
"40",1,1,1,11,"100-1",10,542.5,0,1,1
"41",1,1,1,12,"140-2",15,150.3333333,1,1,1
"42",1,1,1,12,"140-2",15,245.9666667,1,1,1
"43",1,1,1,12,"140-2",15,542.5,0,1,3
"43.1",1,1,1,12,"140-2",15,542.5,0,1,3
"43.2",1,1,1,12,"140-2",15,542.5,0,1,3
"44",1,1,1,12,"140-2",15,542.5,0,0,5
"44.1",1,1,1,12,"140-2",15,542.5,0,0,5
"44.2",1,1,1,12,"140-2",15,542.5,0,0,5
"44.3",1,1,1,12,"140-2",15,542.5,0,0,5
"44.4",1,1,1,12,"140-2",15,542.5,0,0,5
"45",1,1,1,13,"187-2",10,150.3333333,1,1,1
"46",1,1,1,13,"187-2",10,198.1166667,1,1,2
"46.1",1,1,1,13,"187-2",10,198.1166667,1,1,2
"47",1,1,1,13,"187-2",10,245.9666667,1,1,6
"47.1",1,1,1,13,"187-2",10,245.9666667,1,1,6
"47.2",1,1,1,13,"187-2",10,245.9666667,1,1,6
"47.3",1,1,1,13,"187-2",10,245.9666667,1,1,6
"47.4",1,1,1,13,"187-2",10,245.9666667,1,1,6
"47.5",1,1,1,13,"187-2",10,245.9666667,1,1,6
"48",1,1,1,13,"187-2",10,342.0333333,1,1,1
"49",1,1,1,14,"140-1",0,101.9,1,1,1
"50",1,1,1,14,"140-1",0,150.3333333,1,1,1
"51",1,1,1,14,"140-1",0,198.1166667,1,1,1
"52",1,1,1,14,"140-1",0,542.5,0,1,4
"52.1",1,1,1,14,"140-1",0,542.5,0,1,4
"52.2",1,1,1,14,"140-1",0,542.5,0,1,4
"52.3",1,1,1,14,"140-1",0,542.5,0,1,4
"53",1,1,1,14,"140-1",0,542.5,0,0,3
"53.1",1,1,1,14,"140-1",0,542.5,0,0,3
"53.2",1,1,1,14,"140-1",0,542.5,0,0,3
"54",1,1,1,15,"81-2",20,150.3333333,1,1,1
"55",1,1,1,15,"81-2",20,198.1166667,1,1,7
"55.1",1,1,1,15,"81-2",20,198.1166667,1,1,7
"55.2",1,1,1,15,"81-2",20,198.1166667,1,1,7
"55.3",1,1,1,15,"81-2",20,198.1166667,1,1,7
"55.4",1,1,1,15,"81-2",20,198.1166667,1,1,7
"55.5",1,1,1,15,"81-2",20,198.1166667,1,1,7
"55.6",1,1,1,15,"81-2",20,198.1166667,1,1,7
"56",1,1,1,15,"81-2",20,245.9666667,1,1,1
"57",1,1,1,15,"81-2",20,542.5,0,0,1
"58",1,1,1,16,"149-1",20,150.3333333,1,1,2
"58.1",1,1,1,16,"149-1",20,150.3333333,1,1,2
"59",1,1,1,16,"149-1",20,198.1166667,1,1,4
"59.1",1,1,1,16,"149-1",20,198.1166667,1,1,4
"59.2",1,1,1,16,"149-1",20,198.1166667,1,1,4
"59.3",1,1,1,16,"149-1",20,198.1166667,1,1,4
"60",1,1,1,16,"149-1",20,245.9666667,1,1,2
"60.1",1,1,1,16,"149-1",20,245.9666667,1,1,2
"61",1,1,1,16,"149-1",20,542.5,0,0,2
"61.1",1,1,1,16,"149-1",20,542.5,0,0,2
"62",1,1,1,17,"125-2",0,198.1166667,1,1,1
"63",1,1,1,17,"125-2",0,245.9666667,1,1,1
"64",1,1,1,17,"125-2",0,294.9166667,1,1,2
"64.1",1,1,1,17,"125-2",0,294.9166667,1,1,2
"65",1,1,1,17,"125-2",0,342.0333333,1,1,1
"66",1,1,1,17,"125-2",0,542.5,0,1,3
"66.1",1,1,1,17,"125-2",0,542.5,0,1,3
"66.2",1,1,1,17,"125-2",0,542.5,0,1,3
"67",1,1,1,17,"125-2",0,542.5,0,0,2
"67.1",1,1,1,17,"125-2",0,542.5,0,0,2
"68",1,1,1,18,"164-2",10,198.1166667,1,1,2
"68.1",1,1,1,18,"164-2",10,198.1166667,1,1,2
"69",1,1,1,18,"164-2",10,342.0333333,1,1,1
"70",1,1,1,18,"164-2",10,389.8833333,1,1,1
"71",1,1,1,18,"164-2",10,542.5,0,1,3
"71.1",1,1,1,18,"164-2",10,542.5,0,1,3
"71.2",1,1,1,18,"164-2",10,542.5,0,1,3
"72",1,1,1,18,"164-2",10,542.5,0,0,1
"73",1,1,1,20,"170-1",20,198.1166667,1,1,3
"73.1",1,1,1,20,"170-1",20,198.1166667,1,1,3
"73.2",1,1,1,20,"170-1",20,198.1166667,1,1,3
"74",1,1,1,20,"170-1",20,245.9666667,1,1,4
"74.1",1,1,1,20,"170-1",20,245.9666667,1,1,4
"74.2",1,1,1,20,"170-1",20,245.9666667,1,1,4
"74.3",1,1,1,20,"170-1",20,245.9666667,1,1,4
"75",1,1,1,20,"170-1",20,294.9166667,1,1,1
"76",1,1,1,20,"170-1",20,542.5,0,0,2
"76.1",1,1,1,20,"170-1",20,542.5,0,0,2
"77",1,1,1,21,"151-2",10,101.9,1,1,3
"77.1",1,1,1,21,"151-2",10,101.9,1,1,3
"77.2",1,1,1,21,"151-2",10,101.9,1,1,3
"78",1,1,1,21,"151-2",10,150.3333333,1,1,1
"79",1,1,1,21,"151-2",10,294.9166667,1,1,1
