"","sampleid","line","rep","run","shelf","plate","trt","type","end","status","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"1","CanAbasolo1","215-1",2,3,5,170,10,"E3",157.5,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"2","CanAbasolo1","215-1",2,3,5,170,10,"E3",157.5,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"3","CanAbasolo1","215-1",1,1,7,245,20,"E3",295.3833333,1,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"4","CanAbasolo1","215-1",2,3,8,269,0,"E3",157.05,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"5","CanAbasolo1","215-1",1,1,3,96,0,"E3",246.05,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"6","CanAbasolo1","215-1",1,1,7,237,10,"E3",542.5,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"7","CanAbasolo1","215-1",1,1,3,96,0,"E3",150.4333333,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"8","CanAbasolo1","215-1",1,1,7,245,20,"E3",198.4833333,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"9","CanAbasolo1","215-1",2,3,3,78,20,"E3",206.75,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"10","CanAbasolo1","215-1",1,1,7,237,10,"E3",542.5,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"11","CanAbasolo1","215-1",2,3,5,170,10,"E3",494.6,1,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"12","CanAbasolo1","215-1",1,1,7,237,10,"E3",440.2333333,1,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"13","CanAbasolo1","215-1",2,3,8,269,0,"E3",157.05,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"14","CanAbasolo1","215-1",1,1,7,245,20,"E3",198.4833333,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"15","CanAbasolo1","215-1",2,3,9,322,15,"E3",156.7,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"16","CanAbasolo1","215-1",2,3,9,322,15,"E3",156.7,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"17","CanAbasolo1","215-1",2,3,5,170,10,"E3",157.5,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"18","CanAbasolo1","215-1",2,3,3,78,20,"E3",497.5,0,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"19","CanAbasolo1","215-1",1,1,3,78,15,"E3",198.2166667,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"20","CanAbasolo1","215-1",1,1,7,245,20,"E3",198.4833333,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"21","CanAbasolo1","215-1",1,1,3,96,0,"E3",246.05,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"22","CanAbasolo1","215-1",2,3,3,78,20,"E3",254.85,1,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"23","CanAbasolo1","215-1",2,3,3,78,20,"E3",157.8666667,1,3,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"24","CanAbasolo1","215-1",2,3,5,170,10,"E3",157.5,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"25","CanAbasolo1","215-1",1,1,3,96,0,"E3",101.9833333,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"26","CanAbasolo1","215-1",2,3,5,170,10,"E3",60.45,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"27","CanAbasolo1","215-1",2,3,5,170,10,"E3",157.5,1,6,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"28","CanAbasolo1","215-1",1,1,7,237,10,"E3",150.6166667,1,1,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"29","CanAbasolo1","215-1",1,1,3,78,15,"E3",542.5,1,2,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"30","CanAbasolo1","215-1",1,1,7,245,20,"E3",198.4833333,1,4,NA,"14CAg215-1","11/10/14","CAg",1,"central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
