,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
11,CanAnil1,75-1,5029,3,5,6,207,10,254,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
13,CanAnil1,75-1,5028.2,3,5,6,207,10,207,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
14,CanAnil1,75-1,5030,3,5,6,207,10,493.5,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
17,CanAnil1,75-1,7035,4,7,1,7,15,153.8,1,1,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
21,CanAnil1,75-1,5027.1,3,5,6,207,10,156.8,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
24,CanAnil1,75-1,5028.1,3,5,6,207,10,207,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
28,CanAnil1,75-1,7036.5,4,7,1,7,15,550,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
33,CanAnil1,75-1,7036,4,7,1,7,15,550,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
34,CanAnil1,75-1,7036.6,4,7,1,7,15,550,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
40,CanAnil1,75-1,7036.4,4,7,1,7,15,550,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
44,CanAnil1,75-1,7036.8,4,7,1,7,15,550,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
60,CanAnil1,75-1,5026,3,5,6,207,10,109.5,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
62,CanAnil1,75-1,5028,3,5,6,207,10,207,1,3,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
65,CanAnil1,75-1,5026.1,3,5,6,207,10,109.5,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
66,CanAnil1,75-1,5027,3,5,6,207,10,156.8,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
70,CanAnil1,75-1,5029.1,3,5,6,207,10,254,1,2,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_207
94,CanAnil1,75-2,1642.3,1,2,5,150,15,205.8,1,4,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
96,CanAnil1,75-2,1641,1,2,5,150,15,155.6,1,1,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
97,CanAnil1,75-2,1640.2,1,2,5,150,15,107.6,1,5,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
98,CanAnil1,75-2,1640.3,1,2,5,150,15,107.6,1,5,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
99,CanAnil1,75-2,1640.4,1,2,5,150,15,107.6,1,5,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
101,CanAnil1,75-1,7036.1,4,7,1,7,15,550,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
102,CanAnil1,75-1,7036.3,4,7,1,7,15,550,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
104,CanAnil1,75-1,7036.2,4,7,1,7,15,550,1,9,14CRo75-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_7
