"","X","sampleid","line","rep","run","shelf","plate","trt","end","status","number","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"48",48,"CanAbasolo1","215-1",2,"3",5,170,10,60.5,1,2,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"51",51,"CanAbasolo1","215-1",2,"3",5,170,10,157.5,1,6,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"57",57,"CanAbasolo1","215-1",2,"3",5,170,10,157.5,1,6,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"62",62,"CanAbasolo1","215-1",2,"3",5,170,10,60.5,1,2,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"66",66,"CanAbasolo1","215-1",2,"3",5,170,10,494.6,1,1,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"74",74,"CanAbasolo1","215-1",2,"3",5,170,10,157.5,1,6,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"82",82,"CanAbasolo1","215-1",2,"3",5,170,10,157.5,1,6,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"100",100,"CanAbasolo1","215-1",2,"3",5,170,10,497.5,0,1,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"131",131,"CanAbasolo1","215-1",2,"3",5,170,10,157.5,1,6,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"154",154,"CanAbasolo1","215-1",2,"3",5,170,10,157.5,1,6,"14CAg215-1","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"3_170"
"172",172,"CanAbasolo1","215-2",4,"8",1,10,20,163.2,1,3,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"200",200,"CanAbasolo1","215-2",4,"8",1,10,20,163.2,1,3,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"205",205,"CanAbasolo1","215-2",4,"8",1,10,20,404,0,1,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"257",257,"CanAbasolo1","215-2",4,"8",1,10,20,257,1,2,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"282",282,"CanAbasolo1","215-2",4,"8",1,10,20,257,1,2,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"287",287,"CanAbasolo1","215-2",4,"8",1,10,20,Inf,1,1,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"292",292,"CanAbasolo1","215-2",4,"8",1,10,20,163.2,1,3,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"297",297,"CanAbasolo1","215-2",4,"8",1,10,20,114.2,0,1,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"302",302,"CanAbasolo1","215-2",4,"8",1,10,20,211,1,2,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"307",307,"CanAbasolo1","215-2",4,"8",1,10,20,211,1,2,"14CAg215-2","11/10/14","CAg","1","central valleys","CAg_52","landrace","Chile de Agua","Milpa",NA,"8_10"
"449",449,"CanAnil1","75-1",3,"5",6,207,10,207,1,3,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"450",450,"CanAnil1","75-1",2,"3",1,11,0,206.8,1,6,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"452",452,"CanAnil1","75-1",1,"1",1,22,0,198.1,1,4,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"454",454,"CanAnil1","75-1",1,"1",1,22,0,198.1,1,4,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"455",455,"CanAnil1","75-1",2,"3",1,8,15,255,1,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"456",456,"CanAnil1","75-1",1,"1",1,3,10,101.9,1,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"457",457,"CanAnil1","75-1",2,"3",1,8,15,158,1,6,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"458",458,"CanAnil1","75-1",1,"1",1,22,0,150.3,1,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"460",460,"CanAnil1","75-1",1,"1",1,22,0,542.5,0,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"461",461,"CanAnil1","75-1",1,"1",2,54,15,150.4,1,2,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"462",462,"CanAnil1","75-1",1,"1",1,22,0,198.1,1,4,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"463",463,"CanAnil1","75-1",2,"3",1,11,0,497.5,0,3,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"465",465,"CanAnil1","75-1",4,"7",2,50,0,253,1,6,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"466",466,"CanAnil1","75-1",3,"5",6,207,10,207,1,3,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"467",467,"CanAnil1","75-1",1,"1",1,3,10,150.3,1,3,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"470",470,"CanAnil1","75-1",2,"3",6,184,10,156.8,1,5,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_184"
"471",471,"CanAnil1","75-1",1,"1",2,54,15,150.4,1,2,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"473",473,"CanAnil1","75-1",2,"3",1,8,15,206.8,1,2,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"474",474,"CanAnil1","75-1",3,"5",3,86,15,254,1,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_86"
"475",475,"CanAnil1","75-1",2,"3",1,8,15,206.8,1,2,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"477",477,"CanAnil1","75-1",2,"3",1,11,0,206.8,1,6,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"478",478,"CanAnil1","75-1",1,"1",5,157,20,295.1,1,3,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"479",479,"CanAnil1","75-1",3,"5",3,76,20,Inf,1,2,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_76"
"480",480,"CanAnil1","75-1",1,"1",2,54,15,542.5,0,2,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"481",481,"CanAnil1","75-1",3,"5",3,76,20,303.8,1,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_76"
"483",483,"CanAnil1","75-1",4,"7",1,7,15,Inf,1,9,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"484",484,"CanAnil1","75-1",1,"1",1,3,10,198.1,1,3,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"485",485,"CanAnil1","75-1",1,"1",1,22,0,389.9,1,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"486",486,"CanAnil1","75-1",3,"5",6,207,10,109.5,1,2,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"487",487,"CanAnil1","75-1",3,"5",6,207,10,254,1,2,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"488",488,"CanAnil1","75-1",1,"1",1,3,10,542.5,0,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"489",489,"CanAnil1","75-1",3,"5",6,207,10,493.5,1,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"490",490,"CanAnil1","75-1",2,"3",6,184,10,205.6,1,3,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_184"
"491",491,"CanAnil1","75-1",1,"1",1,22,0,246,1,3,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"493",493,"CanAnil1","75-1",3,"5",3,76,20,254,1,3,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_76"
"494",494,"CanAnil1","75-1",4,"7",1,7,15,Inf,1,9,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_7"
"495",495,"CanAnil1","75-1",3,"5",3,76,20,446,0,1,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_76"
"496",496,"CanAnil1","75-1",1,"1",5,157,20,342.4,1,4,"14CRo75-1","11/10/14","CRo","4","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
