"","rep","run","shelf","plate","line","trt","type","end","status","germinated"
"1",1,1,5,167,"001-1",20,"E3",198.3833333,1,3
"1.1",1,1,5,167,"001-1",20,"E3",198.3833333,1,3
"1.2",1,1,5,167,"001-1",20,"E3",198.3833333,1,3
"2",1,1,5,167,"001-1",20,"E3",246.1833333,1,1
"3",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.1",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.2",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.3",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.4",1,1,5,167,"001-1",20,"E3",542.5,0,6
"3.5",1,1,5,167,"001-1",20,"E3",542.5,0,6
"4",1,1,6,209,"001-1",15,"E3",150.5666667,1,1
"5",1,1,6,209,"001-1",15,"E3",198.4333333,1,2
"5.1",1,1,6,209,"001-1",15,"E3",198.4333333,1,2
"6",1,1,6,209,"001-1",15,"E3",295.3,1,1
"7",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.1",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.2",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.3",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.4",1,1,6,209,"001-1",15,"E3",542.5,0,6
"7.5",1,1,6,209,"001-1",15,"E3",542.5,0,6
"8",1,1,7,227,"001-1",10,"E3",102.1833333,1,2
"8.1",1,1,7,227,"001-1",10,"E3",102.1833333,1,2
"9",1,1,7,227,"001-1",10,"E3",150.6166667,1,1
"10",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.1",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.2",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.3",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.4",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.5",1,1,7,227,"001-1",10,"E3",542.5,0,7
"10.6",1,1,7,227,"001-1",10,"E3",542.5,0,7
