Name,type,region,peg,Estimate,StdError
Max,E3,CentralValleys,0,0.571855,0.018549
Max,E3,CentralValleys,10,0.600055,0.018381
Max,E3,CentralValleys,15,0.624783,0.018184
Max,E3,CentralValleys,20,0.572958,0.019644
Max,C2,ECoast,0,1.000284,0.019662
Max,C2,ECoast,10,1.009197,0.034314
Max,C2,ECoast,15,0.829856,0.103497
Max,C2,ECoast,20,2.12889,8.781835
Max,E3,ECoast,0,0.834878,0.022485
Max,E3,ECoast,10,0.800304,0.025326
Max,E3,ECoast,15,0.796326,0.036673
Max,E3,ECoast,20,0.418188,0.036249
Max,C1,Johnny's,0,1.048435,0.234231
Max,C1,Johnny's,10,0.706917,0.051915
Max,C1,Johnny's,15,0.710702,0.053853
Max,C1,Johnny's,20,0.341701,0.060356
Max,E3,SierraMadredelaSur,0,9262.813852,NA
Max,E3,SierraMadredelaSur,10,0.966793,0.032859
Max,E3,SierraMadredelaSur,15,0.905698,0.048011
Max,E3,SierraMadredelaSur,20,0.948297,0.073376
Max,E3,WCoast,0,0.915824,0.025395
Max,E3,WCoast,10,0.899348,0.025428
Max,E3,WCoast,15,0.857097,0.030129
Max,E3,WCoast,20,0.815816,0.032834
Max,E3,Yucatan,0,1.006841,0.03261
Max,E3,Yucatan,10,0.915632,0.068259
Max,E3,Yucatan,15,1536.20171,6.190431
Max,E3,Yucatan,20,0.166466,0.048065
Slope,E3,CentralValleys,0,-4.27484,0.200093
Slope,E3,CentralValleys,10,-3.980152,0.184924
Slope,E3,CentralValleys,15,-4.686809,0.209814
Slope,E3,CentralValleys,20,-4.829635,0.247393
Slope,C2,ECoast,0,-6.306117,0.816018
Slope,C2,ECoast,10,-5.890822,0.840804
Slope,C2,ECoast,15,-4.581774,0.932225
Slope,C2,ECoast,20,-4.855137,2.026254
Slope,E3,ECoast,0,-3.550642,0.207528
Slope,E3,ECoast,10,-3.187956,0.197564
Slope,E3,ECoast,15,-2.928572,0.211862
Slope,E3,ECoast,20,-2.828182,0.293356
Slope,C1,Johnny's,0,-3.256869,0.634257
Slope,C1,Johnny's,10,-6.448867,0.811538
Slope,C1,Johnny's,15,-5.848824,0.806467
Slope,C1,Johnny's,20,-5.672693,1.233994
Slope,E3,SierraMadredelaSur,0,-7.370754,1.050636
Slope,E3,SierraMadredelaSur,10,-7.69338,1.318826
Slope,E3,SierraMadredelaSur,15,-6.680327,1.053937
Slope,E3,SierraMadredelaSur,20,-5.419252,1.000718
Slope,E3,WCoast,0,-3.210666,0.266605
Slope,E3,WCoast,10,-3.121732,0.256305
Slope,E3,WCoast,15,-3.314271,0.294745
Slope,E3,WCoast,20,-4.250353,0.369986
Slope,E3,Yucatan,0,-4.279325,0.61164
Slope,E3,Yucatan,10,-3.348747,0.548918
Slope,E3,Yucatan,15,-0.058698,NA
Slope,E3,Yucatan,20,-15.566494,5.466948
T50,E3,CentralValleys,0,4.948669,0.021017
T50,E3,CentralValleys,10,4.804617,0.021966
T50,E3,CentralValleys,15,5.037512,0.01825
T50,E3,CentralValleys,20,5.466189,0.019691
T50,C2,ECoast,0,5.443716,0.037909
T50,C2,ECoast,10,5.554324,0.043016
T50,C2,ECoast,15,5.678677,0.08633
T50,C2,ECoast,20,6.624932,1.125021
T50,E3,ECoast,0,5.315097,0.029647
T50,E3,ECoast,10,5.277697,0.0357
T50,E3,ECoast,15,5.521561,0.049476
T50,E3,ECoast,20,5.589216,0.077958
T50,C1,Johnny's,0,5.997714,0.165112
T50,C1,Johnny's,10,5.45294,0.038045
T50,C1,Johnny's,15,5.563204,0.042714
T50,C1,Johnny's,20,5.754417,0.072811
T50,E3,SierraMadredelaSur,0,5.321936,0.039164
T50,E3,SierraMadredelaSur,10,5.208339,0.044979
T50,E3,SierraMadredelaSur,15,5.331469,0.045655
T50,E3,SierraMadredelaSur,20,5.7869,0.060841
T50,E3,WCoast,0,4.898376,0.049665
T50,E3,WCoast,10,4.723965,0.050055
T50,E3,WCoast,15,4.787477,0.048824
T50,E3,WCoast,20,5.133556,0.038942
T50,E3,Yucatan,0,5.341348,0.056152
T50,E3,Yucatan,10,5.437966,0.085723
T50,E3,Yucatan,15,140.698591,NA
T50,E3,Yucatan,20,5.238833,0.055339
