"","X","sampleid","line","rep","run","shelf","plate","trt","read.time","start","end","start.count","end.count","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"1",2069,"CanSPablo4","181-1",1,1,1,1,0,"1/20/16 8:30",0,54,0,0,0,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"2",2061,"CanSPablo4","181-1",1,1,1,1,0,"1/22/16 8:24",54,101.9,0,5,5,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"3",2071,"CanSPablo4","181-1",1,1,1,1,0,"1/24/16 8:50",101.9,150.33,5,8,3,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"4",2054,"CanSPablo4","181-1",1,1,1,1,0,"1/26/16 8:37",150.33,198.12,8,8,0,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"5",2065,"CanSPablo4","181-1",1,1,1,1,0,"1/28/16 8:28",198.12,245.97,8,8,0,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"6",2073,"CanSPablo4","181-1",1,1,1,1,0,"1/30/16 9:25",245.97,294.92,8,8,0,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"7",2077,"CanSPablo4","181-1",1,1,1,1,0,"2/1/16 8:32",294.92,342.03,8,9,1,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"8",2052,"CanSPablo4","181-1",1,1,1,1,0,"2/3/16 8:23",342.03,389.88,9,9,0,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"9",2048,"CanSPablo4","181-1",1,1,1,1,0,"2/5/16 8:08",389.88,437.63,9,9,0,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"10",2060,"CanSPablo4","181-1",1,1,1,1,0,"",437.63,Inf,9,10,1,"","14Tav181-1","11/10/14","Tav",39,"Central Valleys","Tav_37","landrace","Taviche","Milpa","Dry"
"11",2750,"CfrLaguna1","100-1",1,1,1,2,10,"1/20/16 8:30",0,54,0,0,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"12",2748,"CfrLaguna1","100-1",1,1,1,2,10,"1/22/16 8:24",54,101.9,0,0,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"13",2698,"CfrLaguna1","100-1",1,1,1,2,10,"1/24/16 8:50",101.9,150.33,0,0,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"14",2671,"CfrLaguna1","100-1",1,1,1,2,10,"1/26/16 8:37",150.33,198.12,0,0,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"15",2593,"CfrLaguna1","100-1",1,1,1,2,10,"1/28/16 8:28",198.12,245.97,0,2,2,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"16",2553,"CfrLaguna1","100-1",1,1,1,2,10,"1/30/16 9:25",245.97,294.92,2,4,2,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"17",2603,"CfrLaguna1","100-1",1,1,1,2,10,"2/1/16 8:32",294.92,342.03,4,6,2,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"18",2595,"CfrLaguna1","100-1",1,1,1,2,10,"2/3/16 8:23",342.03,389.88,6,7,1,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"19",2682,"CfrLaguna1","100-1",1,1,1,2,10,"2/5/16 8:08",389.88,437.63,7,10,3,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"20",2700,"CfrLaguna1","100-1",1,1,1,2,10,"",437.63,Inf,10,10,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"21",145,"CanAnil1","75-1",1,1,1,3,10,"1/20/16 8:30",0,54,0,0,0,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"22",130,"CanAnil1","75-1",1,1,1,3,10,"1/22/16 8:24",54,101.9,0,1,1,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"23",140,"CanAnil1","75-1",1,1,1,3,10,"1/24/16 8:50",101.9,150.33,1,4,3,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"24",141,"CanAnil1","75-1",1,1,1,3,10,"1/26/16 8:37",150.33,198.12,4,7,3,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"25",120,"CanAnil1","75-1",1,1,1,3,10,"1/28/16 8:28",198.12,245.97,7,9,2,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"26",146,"CanAnil1","75-1",1,1,1,3,10,"1/30/16 9:25",245.97,294.92,9,9,0,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"27",147,"CanAnil1","75-1",1,1,1,3,10,"2/1/16 8:32",294.92,342.03,9,9,0,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"28",148,"CanAnil1","75-1",1,1,1,3,10,"2/3/16 8:23",342.03,389.88,9,9,0,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"29",149,"CanAnil1","75-1",1,1,1,3,10,"2/5/16 8:08",389.88,437.63,9,9,0,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"30",131,"CanAnil1","75-1",1,1,1,3,10,"",437.63,Inf,9,10,1,"","14CRo75-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"31",483,"CanCoat7","132-2",1,1,1,4,15,"1/20/16 8:30",0,54,0,0,0,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
"32",487,"CanCoat7","132-2",1,1,1,4,15,"1/22/16 8:24",54,101.9,0,0,0,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
"33",491,"CanCoat7","132-2",1,1,1,4,15,"1/24/16 8:50",101.9,150.33,0,2,2,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
"34",476,"CanCoat7","132-2",1,1,1,4,15,"1/26/16 8:37",150.33,198.12,2,7,5,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
"35",433,"CanCoat7","132-2",1,1,1,4,15,"1/28/16 8:28",198.12,245.97,7,8,1,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
"36",440,"CanCoat7","132-2",1,1,1,4,15,"1/30/16 9:25",245.97,294.92,8,8,0,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
"37",468,"CanCoat7","132-2",1,1,1,4,15,"2/1/16 8:32",294.92,342.03,8,9,1,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
"38",485,"CanCoat7","132-2",1,1,1,4,15,"2/3/16 8:23",342.03,389.88,9,9,0,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
"39",472,"CanCoat7","132-2",1,1,1,4,15,"2/5/16 8:08",389.88,437.63,9,9,0,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
"40",497,"CanCoat7","132-2",1,1,1,4,15,"",437.63,Inf,9,10,1,"","14CAg132-2","11/10/14","CAg",5,"Central Valleys","CAg_24","landrace","Chile de Agua","Plantation","Fresh"
