,X,sampleid,line,rep,run,shelf,plate,trt,type,concatenate,start.day,start.time,start.day.time,read.day.time,start,end,start.count,end.count,germinated,notes,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
6321,6482,NA,Johnny's,1,1,4,135,0,C1,0+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6344,6611,NA,Johnny's,1,1,6,198,0,C1,0+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:34,0,54.06666667,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6354,6406,NA,Johnny's,1,1,8,268,0,C1,0+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:38,0,54.13333333,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6364,6532,NA,Johnny's,1,1,8,277,0,C1,0+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:38,0,54.13333333,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6385,6512,NA,Johnny's,1,1,1,30,10,C1,10+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6444,6602,NA,Johnny's,1,1,6,197,10,C1,10+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:34,0,54.06666667,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6454,6631,NA,Johnny's,1,1,8,275,10,C1,10+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:38,0,54.13333333,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6464,6502,NA,Johnny's,1,1,9,324,10,C1,10+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:41,0,54.18333333,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6473,6522,NA,Johnny's,1,1,2,42,15,C1,15+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6483,6454,NA,Johnny's,1,1,2,63,15,C1,15+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6505,6473,NA,Johnny's,1,1,4,124,15,C1,15+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6515,6543,NA,Johnny's,1,1,5,177,15,C1,15+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:34,0,54.06666667,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
6561,6464,NA,Johnny's,1,1,2,69,20,C1,20+C1+Johnny's,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,NA,NA,NA,NA,Johnny's,NA,NA,NA,NA,NA
