,X,sampleid,line,rep,run,shelf,plate,trt,type,concatenate,start.day,start.time,start.day.time,read.day.time,start,end,start.count,end.count,germinated,notes,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
4817,4836,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
4822,4818,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,1/20/16,8:30,1/18/16 2:30,1/22/16 8:24,54,101.9,0,5,5,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
4820,4819,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,1/22/16,8:24,1/18/16 2:30,1/24/16 8:50,101.9,150.3333333,5,8,3,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
4825,4837,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,1/24/16,8:50,1/18/16 2:30,1/26/16 8:37,150.3333333,198.1166667,8,8,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
4824,4838,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,1/26/16,8:37,1/18/16 2:30,1/28/16 8:28,198.1166667,245.9666667,8,8,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
4821,4839,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,1/28/16,8:28,1/18/16 2:30,1/30/16 9:25,245.9666667,294.9166667,8,8,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
4826,4820,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,1/30/16,9:25,1/18/16 2:30,2/1/16 8:32,294.9166667,342.0333333,8,9,1,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
4823,4827,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,2/1/16,8:32,1/18/16 2:30,2/3/16 8:23,342.0333333,389.8833333,9,9,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
4819,4828,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,2/3/16,8:23,1/18/16 2:30,2/5/16 8:08,389.8833333,437.6333333,9,9,0,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
4818,4817,CanSPablo4,181-1,1,1,1,1,0,E3,0+E3+Central Valleys,2/5/16,8:08,2/5/16 8:08,Inf,437.6333333,Inf,9,10,1,,14Tav181-1,11/10/14,Tav,39,Central Valleys,Tav_37,landrace,Taviche,Milpa,Dry
5105,5147,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
5110,5143,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,1/20/16,8:30,1/18/16 2:30,1/22/16 8:24,54,101.9,0,3,3,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
5108,5144,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,1/22/16,8:24,1/18/16 2:30,1/24/16 8:50,101.9,150.3333333,3,6,3,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
5113,5145,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,1/24/16,8:50,1/18/16 2:30,1/26/16 8:37,150.3333333,198.1166667,6,8,2,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
5112,5148,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,1/26/16,8:37,1/18/16 2:30,1/28/16 8:28,198.1166667,245.9666667,8,8,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
5109,5149,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,1/28/16,8:28,1/18/16 2:30,1/30/16 9:25,245.9666667,294.9166667,8,8,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
5114,5150,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,1/30/16,9:25,1/18/16 2:30,2/1/16 8:32,294.9166667,342.0333333,8,8,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
5111,5151,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,2/1/16,8:32,1/18/16 2:30,2/3/16 8:23,342.0333333,389.8833333,8,8,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
5107,5152,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,2/3/16,8:23,1/18/16 2:30,2/5/16 8:08,389.8833333,437.6333333,8,8,0,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
5106,5146,CanStaCruz15,174-1,1,1,1,10,0,E3,0+E3+Central Valleys,2/5/16,8:08,2/5/16 8:08,Inf,437.6333333,Inf,8,10,2,,14CAg174-1,11/10/14,CAg,41,Central Valleys,CAg_33,landrace,Chile de Agua,Plantation,Fresh
1913,1915,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1918,1925,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,1/20/16,8:30,1/18/16 2:30,1/22/16 8:24,54,101.9,0,1,1,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1916,1926,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,1/22/16,8:24,1/18/16 2:30,1/24/16 8:50,101.9,150.3333333,1,2,1,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1921,1927,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,1/24/16,8:50,1/18/16 2:30,1/26/16 8:37,150.3333333,198.1166667,2,3,1,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1920,1920,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,1/26/16,8:37,1/18/16 2:30,1/28/16 8:28,198.1166667,245.9666667,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1917,1916,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,1/28/16,8:28,1/18/16 2:30,1/30/16 9:25,245.9666667,294.9166667,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1922,1914,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,1/30/16,9:25,1/18/16 2:30,2/1/16 8:32,294.9166667,342.0333333,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1919,1933,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,2/1/16,8:32,1/18/16 2:30,2/3/16 8:23,342.0333333,389.8833333,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1915,1934,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,2/3/16,8:23,1/18/16 2:30,2/5/16 8:08,389.8833333,437.6333333,3,3,0,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
1914,1913,CanLobera1,140-1,1,1,1,14,0,E3,0+E3+Central Valleys,2/5/16,8:08,2/5/16 8:08,Inf,437.6333333,Inf,3,10,7,,14CAg140-1,11/10/14,CAg,14,Central Valleys,CAg_26,landrace,Chile de Agua,Milpa,Fresh
4241,4279,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
4246,4267,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,1/20/16,8:30,1/18/16 2:30,1/22/16 8:24,54,101.9,0,0,0,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
4244,4268,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,1/22/16,8:24,1/18/16 2:30,1/24/16 8:50,101.9,150.3333333,0,0,0,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
4249,4276,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,1/24/16,8:50,1/18/16 2:30,1/26/16 8:37,150.3333333,198.1166667,0,1,1,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
4248,4277,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,1/26/16,8:37,1/18/16 2:30,1/28/16 8:28,198.1166667,245.9666667,1,2,1,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
4245,4262,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,1/28/16,8:28,1/18/16 2:30,1/30/16 9:25,245.9666667,294.9166667,2,4,2,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
4250,4278,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,1/30/16,9:25,1/18/16 2:30,2/1/16 8:32,294.9166667,342.0333333,4,5,1,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
4247,4269,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,2/1/16,8:32,1/18/16 2:30,2/3/16 8:23,342.0333333,389.8833333,5,5,0,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
4243,4270,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,2/3/16,8:23,1/18/16 2:30,2/5/16 8:08,389.8833333,437.6333333,5,5,0,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
4242,4261,CanSaa2,125-2,1,1,1,17,0,E3,0+E3+E Coast,2/5/16,8:08,2/5/16 8:08,Inf,437.6333333,Inf,5,10,5,,14Slt125-2,11/10/14,Slt,36,E Coast,Slt_23,landrace,Solterito,Backyard,Dry
121,122,CanAnil1,75-1,1,1,1,22,0,E3,0+E3+W Coast,1/18/16,2:30,1/18/16 2:30,1/20/16 8:30,0,54,0,0,0,,14CRo75-1,11/10/14,CRo,4,W Coast,CRo_1,landrace,Costeno Rojo,Plantation,Dry
